frame,gaze
136.jpg,"(0.50, 0.65)"
329.jpg,"(0.58, 0.65)"
371.jpg,"(0.52, 0.68)"
431.jpg,"(0.52, 0.68)"
475.jpg,"(0.45, 0.60)"
698.jpg,"(0.75, 0.70)"
738.jpg,"(0.52, 0.64)"
1374.jpg,"(0.35, 0.65)"
1684.jpg,"(0.50, 0.65)"
1765.jpg,"(0.35, 0.68)"
2497.jpg,"(0.54, 0.68)"
2540.jpg,"(0.53, 0.64)"
2654.jpg,"(0.50, 0.60)"
3418.jpg,"(0.35, 0.75)"
3493.jpg,"(0.35, 0.60)"
3712.jpg,"(0.35, 0.65)"
3739.jpg,"(0.35, 0.65)"
3995.jpg,"(0.52, 0.70)"
5033.jpg,"(0.52, 0.68)"
5282.jpg,"(0.52, 0.64)"
5311.jpg,"(0.52, 0.68)"
5586.jpg,"(0.58, 0.72)"
5715.jpg,"(0.56, 0.68)"
6177.jpg,"(0.35, 0.65)"
6253.jpg,"(0.52, 0.64)"
6471.jpg,"(0.35, 0.65)"
6629.jpg,"(0.35, 0.70)"
7300.jpg,"(0.35, 0.60)"
7358.jpg,"(0.35, 0.65)"
7433.jpg,"(0.54, 0.76)"
