frame,gaze
1002.jpg,"(0.52, 0.68)"
1122.jpg,"(0.52, 0.64)"
1176.jpg,"(0.52, 0.64)"
1749.jpg,"(0.50, 0.65)"
2124.jpg,"(0.45, 0.65)"
2372.jpg,"(0.58, 0.72)"
2732.jpg,"(0.45, 0.65)"
2809.jpg,"(0.58, 0.74)"
2886.jpg,"(0.65, 0.65)"
3189.jpg,"(0.65, 0.70)"
3212.jpg,"(0.65, 0.75)"
3464.jpg,"(0.52, 0.64)"
3486.jpg,"(0.65, 0.72)"
3584.jpg,"(0.65, 0.62)"
4649.jpg,"(0.58, 0.67)"
4661.jpg,"(0.58, 0.64)"
4756.jpg,"(0.65, 0.52)"
4803.jpg,"(0.65, 0.55)"
5190.jpg,"(0.35, 0.28)"
5485.jpg,"(0.52, 0.64)"
5818.jpg,"(0.65, 0.75)"
5969.jpg,"(0.52, 0.64)"
6217.jpg,"(0.45, 0.48)"
6278.jpg,"(0.45, 0.55)"
6711.jpg,"(0.45, 0.65)"
7176.jpg,"(0.25, 0.30)"
7356.jpg,"(0.15, 0.20)"
7577.jpg,"(0.25, 0.45)"
7894.jpg,"(0.56, 0.54)"
