frame,gaze
1868.jpg,"(0.52, 0.64)"
2623.jpg,"(0.50, 0.60)"
3093.jpg,"(0.65, 0.85)"
3206.jpg,"(0.50, 0.60)"
3343.jpg,"(0.55, 0.65)"
3476.jpg,"(0.52, 0.68)"
3591.jpg,"(0.50, 0.60)"
3728.jpg,"(0.52, 0.64)"
4000.jpg,"(0.65, 0.82)"
4325.jpg,"(0.52, 0.68)"
7555.jpg,"(0.45, 0.65)"
7984.jpg,"(0.50, 0.60)"
8101.jpg,"(0.45, 0.75)"
8266.jpg,"(0.50, 0.50)"
8369.jpg,"(0.48, 0.56)"
8511.jpg,"(0.65, 0.85)"
8592.jpg,"(0.52, 0.60)"
8818.jpg,"(0.52, 0.71)"
11718.jpg,"(0.35, 0.85)"
12390.jpg,"(0.45, 0.48)"
12546.jpg,"(0.52, 0.60)"
12718.jpg,"(0.52, 0.68)"
12870.jpg,"(0.45, 0.65)"
12992.jpg,"(0.45, 0.65)"
15631.jpg,"(0.52, 0.68)"
16319.jpg,"(0.52, 0.86)"
16472.jpg,"(0.52, 0.60)"
17727.jpg,"(0.35, 0.65)"
18047.jpg,"(0.45, 0.60)"
18100.jpg,"(0.50, 0.65)"
18277.jpg,"(0.35, 0.65)"
18510.jpg,"(0.35, 0.60)"
19210.jpg,"(0.35, 0.65)"
19855.jpg,"(0.45, 0.60)"
19919.jpg,"(0.65, 0.49)"
20721.jpg,"(0.25, 0.75)"
20805.jpg,"(0.50, 0.60)"
21721.jpg,"(0.48, 0.69)"
22502.jpg,"(0.48, 0.69)"
22618.jpg,"(0.52, 0.64)"
23965.jpg,"(0.50, 0.65)"
24859.jpg,"(0.52, 0.68)"
24953.jpg,"(0.52, 0.71)"
25944.jpg,"(0.45, 0.82)"
26299.jpg,"(0.58, 0.54)"
26378.jpg,"(0.45, 0.65)"
27227.jpg,"(0.65, 0.72)"
27325.jpg,"(0.52, 0.60)"
27818.jpg,"(0.35, 0.65)"
28211.jpg,"(0.45, 0.45)"
28489.jpg,"(0.45, 0.60)"
28708.jpg,"(0.45, 0.60)"
28890.jpg,"(0.45, 0.60)"
29054.jpg,"(0.45, 0.65)"
30111.jpg,"(0.52, 0.63)"
30328.jpg,"(0.52, 0.64)"
30713.jpg,"(0.52, 0.60)"
30976.jpg,"(0.52, 0.60)"
31501.jpg,"(0.65, 0.70)"
31776.jpg,"(0.52, 0.64)"
32736.jpg,"(0.85, 0.75)"
33342.jpg,"(0.52, 0.64)"
33622.jpg,"(0.52, 0.60)"
33744.jpg,"(0.52, 0.63)"
34809.jpg,"(0.54, 0.63)"
35043.jpg,"(0.65, 0.60)"
35996.jpg,"(0.54, 0.60)"
36137.jpg,"(0.75, 0.65)"
36784.jpg,"(0.52, 0.68)"
36964.jpg,"(0.55, 0.68)"
37306.jpg,"(0.58, 0.60)"
37363.jpg,"(0.58, 0.52)"
37754.jpg,"(0.35, 0.60)"
38304.jpg,"(0.58, 0.69)"
38595.jpg,"(0.45, 0.60)"
39323.jpg,"(0.52, 0.68)"
39613.jpg,"(0.45, 0.60)"
39900.jpg,"(0.52, 0.63)"
40893.jpg,"(0.50, 0.50)"
