frame,gaze
553.jpg,"(0.45, 0.65)"
983.jpg,"(0.35, 0.70)"
1023.jpg,"(0.58, 0.76)"
1447.jpg,"(0.35, 0.65)"
1839.jpg,"(0.65, 0.75)"
1932.jpg,"(0.45, 0.75)"
2537.jpg,"(0.35, 0.78)"
4007.jpg,"(0.50, 0.60)"
4164.jpg,"(0.50, 0.75)"
4414.jpg,"(0.50, 0.70)"
4598.jpg,"(0.50, 0.60)"
5180.jpg,"(0.50, 0.60)"
5290.jpg,"(0.45, 0.75)"
5611.jpg,"(0.45, 0.80)"
6139.jpg,"(0.35, 0.45)"
6218.jpg,"(0.50, 0.60)"
6531.jpg,"(0.47, 0.65)"
6995.jpg,"(0.50, 0.60)"
7574.jpg,"(0.45, 0.87)"
7907.jpg,"(0.35, 0.45)"
8371.jpg,"(0.35, 0.75)"
8680.jpg,"(0.25, 0.15)"
9864.jpg,"(0.56, 0.78)"
9900.jpg,"(0.45, 0.75)"
10326.jpg,"(0.52, 0.76)"
10506.jpg,"(0.52, 0.76)"
10668.jpg,"(0.52, 0.76)"
10997.jpg,"(0.52, 0.79)"
11111.jpg,"(0.54, 0.78)"
11238.jpg,"(0.58, 0.64)"
11750.jpg,"(0.25, 0.65)"
12099.jpg,"(0.52, 0.84)"
12170.jpg,"(0.45, 0.75)"
12422.jpg,"(0.54, 0.82)"
12492.jpg,"(0.52, 0.79)"
12575.jpg,"(0.54, 0.83)"
12781.jpg,"(0.52, 0.74)"
13043.jpg,"(0.52, 0.81)"
13392.jpg,"(0.45, 0.65)"
