frame,gaze
526.jpg,"(0.58, 0.72)"
832.jpg,"(0.15, 0.35)"
1507.jpg,"(0.55, 0.68)"
1615.jpg,"(0.60, 0.80)"
1798.jpg,"(0.25, 0.45)"
2152.jpg,"(0.52, 0.74)"
2252.jpg,"(0.54, 0.68)"
2619.jpg,"(0.52, 0.78)"
3467.jpg,"(0.45, 0.75)"
5173.jpg,"(0.35, 0.75)"
5409.jpg,"(0.50, 0.70)"
5747.jpg,"(0.55, 0.65)"
6534.jpg,"(0.65, 0.75)"
6650.jpg,"(0.35, 0.45)"
6964.jpg,"(0.52, 0.68)"
7020.jpg,"(0.45, 0.65)"
8005.jpg,"(0.52, 0.68)"
8321.jpg,"(0.35, 0.65)"
8408.jpg,"(0.45, 0.65)"
8751.jpg,"(0.52, 0.84)"
8868.jpg,"(0.35, 0.45)"
9281.jpg,"(0.25, 0.80)"
9516.jpg,"(0.52, 0.78)"
10072.jpg,"(0.45, 0.65)"
10417.jpg,"(0.50, 0.75)"
11047.jpg,"(0.54, 0.72)"
11251.jpg,"(0.25, 0.80)"
11302.jpg,"(0.65, 0.75)"
11559.jpg,"(0.52, 0.74)"
11763.jpg,"(0.52, 0.63)"
