frame,gaze
433.jpg,"(0.55, 0.65)"
1899.jpg,"(0.45, 0.45)"
2062.jpg,"(0.25, 0.30)"
2571.jpg,"(0.45, 0.55)"
3149.jpg,"(0.40, 0.50)"
3481.jpg,"(0.50, 0.50)"
3928.jpg,"(0.55, 0.58)"
4071.jpg,"(0.58, 0.62)"
5023.jpg,"(0.45, 0.62)"
5309.jpg,"(0.45, 0.60)"
5560.jpg,"(0.45, 0.50)"
7109.jpg,"(0.45, 0.45)"
7515.jpg,"(0.45, 0.35)"
8104.jpg,"(0.35, 0.45)"
8553.jpg,"(0.35, 0.45)"
9660.jpg,"(0.50, 0.45)"
11130.jpg,"(0.50, 0.60)"
11204.jpg,"(0.45, 0.35)"
13667.jpg,"(0.50, 0.60)"
13949.jpg,"(0.45, 0.65)"
