frame,gaze
453.jpg,"(0.50, 0.75)"
1042.jpg,"(0.65, 0.70)"
1111.jpg,"(0.45, 0.55)"
1318.jpg,"(0.50, 0.50)"
1463.jpg,"(0.52, 0.65)"
1703.jpg,"(0.35, 0.65)"
1969.jpg,"(0.50, 0.60)"
3511.jpg,"(0.45, 0.65)"
3682.jpg,"(0.58, 0.67)"
3828.jpg,"(0.50, 0.80)"
4213.jpg,"(0.50, 0.75)"
4260.jpg,"(0.75, 0.70)"
4442.jpg,"(0.35, 0.75)"
4510.jpg,"(0.45, 0.65)"
4783.jpg,"(0.50, 0.65)"
4976.jpg,"(0.35, 0.65)"
5979.jpg,"(0.35, 0.65)"
6180.jpg,"(0.50, 0.65)"
6300.jpg,"(0.45, 0.65)"
6723.jpg,"(0.35, 0.65)"
6954.jpg,"(0.25, 0.65)"
7386.jpg,"(0.45, 0.65)"
7644.jpg,"(0.25, 0.60)"
8756.jpg,"(0.50, 0.75)"
