frame,gaze
561.jpg,"(0.52, 0.48)"
1171.jpg,"(0.45, 0.48)"
1309.jpg,"(0.52, 0.48)"
1835.jpg,"(0.45, 0.50)"
1929.jpg,"(0.45, 0.65)"
2252.jpg,"(0.35, 0.45)"
2351.jpg,"(0.50, 0.60)"
2679.jpg,"(0.35, 0.65)"
2790.jpg,"(0.52, 0.60)"
3326.jpg,"(0.52, 0.58)"
3440.jpg,"(0.35, 0.65)"
3706.jpg,"(0.35, 0.45)"
3788.jpg,"(0.45, 0.65)"
4046.jpg,"(0.35, 0.65)"
4145.jpg,"(0.45, 0.60)"
4371.jpg,"(0.50, 0.45)"
4499.jpg,"(0.35, 0.60)"
4779.jpg,"(0.52, 0.60)"
4806.jpg,"(0.65, 0.30)"
6683.jpg,"(0.45, 0.65)"
6696.jpg,"(0.60, 0.45)"
7282.jpg,"(0.65, 0.68)"
