frame,gaze
83.jpg,"(0.65, 0.45)"
353.jpg,"(0.52, 0.74)"
431.jpg,"(0.15, 0.85)"
1327.jpg,"(0.38, 0.87)"
1412.jpg,"(0.25, 0.35)"
1609.jpg,"(0.48, 0.67)"
1648.jpg,"(0.50, 0.60)"
1864.jpg,"(0.35, 0.45)"
2092.jpg,"(0.52, 0.78)"
2162.jpg,"(0.52, 0.64)"
2275.jpg,"(0.50, 0.65)"
3026.jpg,"(0.50, 0.50)"
3334.jpg,"(0.35, 0.70)"
3434.jpg,"(0.52, 0.74)"
3574.jpg,"(0.50, 0.65)"
3657.jpg,"(0.45, 0.55)"
3850.jpg,"(0.45, 0.60)"
4159.jpg,"(0.52, 0.76)"
4300.jpg,"(0.35, 0.65)"
4469.jpg,"(0.45, 0.75)"
4536.jpg,"(0.35, 0.65)"
4908.jpg,"(0.35, 0.55)"
5393.jpg,"(0.45, 0.70)"
5507.jpg,"(0.52, 0.68)"
5820.jpg,"(0.65, 0.60)"
6283.jpg,"(0.52, 0.74)"
6343.jpg,"(0.52, 0.48)"
6908.jpg,"(0.52, 0.64)"
7005.jpg,"(0.52, 0.65)"
7479.jpg,"(0.45, 0.58)"
7810.jpg,"(0.48, 0.65)"
8209.jpg,"(0.50, 0.90)"
8544.jpg,"(0.48, 0.65)"
9217.jpg,"(0.54, 0.76)"
9262.jpg,"(0.52, 0.48)"
