frame,gaze
134.jpg,"(0.52, 0.68)"
215.jpg,"(0.45, 0.75)"
354.jpg,"(0.52, 0.65)"
443.jpg,"(0.65, 0.60)"
524.jpg,"(0.52, 0.78)"
1018.jpg,"(0.45, 0.65)"
1127.jpg,"(0.35, 0.75)"
1523.jpg,"(0.52, 0.68)"
1596.jpg,"(0.45, 0.65)"
2909.jpg,"(0.50, 0.60)"
2959.jpg,"(0.45, 0.65)"
3140.jpg,"(0.45, 0.65)"
3295.jpg,"(0.50, 0.60)"
3604.jpg,"(0.65, 0.58)"
3829.jpg,"(0.45, 0.65)"
3987.jpg,"(0.45, 0.65)"
4112.jpg,"(0.45, 0.65)"
4166.jpg,"(0.65, 0.75)"
4413.jpg,"(0.50, 0.65)"
4476.jpg,"(0.58, 0.74)"
4539.jpg,"(0.45, 0.75)"
4621.jpg,"(0.52, 0.68)"
4806.jpg,"(0.50, 0.60)"
5376.jpg,"(0.45, 0.65)"
5648.jpg,"(0.45, 0.45)"
5804.jpg,"(0.50, 0.60)"
6368.jpg,"(0.45, 0.65)"
6430.jpg,"(0.50, 0.70)"
6924.jpg,"(0.50, 0.60)"
7113.jpg,"(0.50, 0.70)"
7447.jpg,"(0.58, 0.79)"
7489.jpg,"(0.50, 0.75)"
7552.jpg,"(0.45, 0.78)"
7677.jpg,"(0.60, 0.85)"
7704.jpg,"(0.45, 0.75)"
7847.jpg,"(0.54, 0.76)"
7952.jpg,"(0.52, 0.68)"
8223.jpg,"(0.35, 0.65)"
8278.jpg,"(0.58, 0.72)"
8747.jpg,"(0.45, 0.75)"
8957.jpg,"(0.35, 0.68)"
9221.jpg,"(0.35, 0.75)"
9279.jpg,"(0.55, 0.72)"
9414.jpg,"(0.45, 0.75)"
9836.jpg,"(0.52, 0.76)"
