frame,gaze
531.jpg,"(0.45, 0.65)"
752.jpg,"(0.52, 0.60)"
1061.jpg,"(0.58, 0.64)"
1404.jpg,"(0.35, 0.65)"
1458.jpg,"(0.45, 0.65)"
1724.jpg,"(0.45, 0.65)"
2522.jpg,"(0.45, 0.60)"
2774.jpg,"(0.54, 0.60)"
2873.jpg,"(0.45, 0.65)"
4107.jpg,"(0.45, 0.50)"
4259.jpg,"(0.45, 0.50)"
4552.jpg,"(0.48, 0.52)"
4696.jpg,"(0.45, 0.50)"
4826.jpg,"(0.48, 0.52)"
4904.jpg,"(0.52, 0.60)"
5006.jpg,"(0.48, 0.52)"
5039.jpg,"(0.45, 0.50)"
5139.jpg,"(0.52, 0.54)"
5179.jpg,"(0.42, 0.50)"
5275.jpg,"(0.45, 0.52)"
5339.jpg,"(0.54, 0.52)"
5465.jpg,"(0.52, 0.54)"
5499.jpg,"(0.52, 0.60)"
5585.jpg,"(0.48, 0.60)"
5648.jpg,"(0.52, 0.60)"
6019.jpg,"(0.75, 0.70)"
6097.jpg,"(0.48, 0.56)"
6514.jpg,"(0.58, 0.62)"
6560.jpg,"(0.45, 0.60)"
6913.jpg,"(0.25, 0.35)"
7007.jpg,"(0.25, 0.75)"
7139.jpg,"(0.65, 0.65)"
7492.jpg,"(0.45, 0.65)"
7568.jpg,"(0.58, 0.62)"
7900.jpg,"(0.35, 0.55)"
8600.jpg,"(0.35, 0.65)"
