frame,gaze
136.jpg,"(0.65, 0.55)"
239.jpg,"(0.50, 0.60)"
602.jpg,"(0.50, 0.45)"
810.jpg,"(0.58, 0.62)"
890.jpg,"(0.45, 0.65)"
1332.jpg,"(0.75, 0.65)"
1988.jpg,"(0.65, 0.65)"
2203.jpg,"(0.35, 0.75)"
2266.jpg,"(0.50, 0.50)"
2521.jpg,"(0.50, 0.50)"
2544.jpg,"(0.35, 0.70)"
2635.jpg,"(0.65, 0.55)"
2874.jpg,"(0.65, 0.45)"
2954.jpg,"(0.50, 0.60)"
3065.jpg,"(0.60, 0.55)"
3094.jpg,"(0.70, 0.60)"
3320.jpg,"(0.35, 0.60)"
3701.jpg,"(0.50, 0.65)"
3853.jpg,"(0.35, 0.65)"
4190.jpg,"(0.52, 0.68)"
4424.jpg,"(0.54, 0.76)"
