frame,gaze
99.jpg,"(0.45, 0.65)"
396.jpg,"(0.45, 0.65)"
834.jpg,"(0.35, 0.65)"
946.jpg,"(0.35, 0.60)"
1510.jpg,"(0.35, 0.60)"
1600.jpg,"(0.35, 0.55)"
2348.jpg,"(0.35, 0.55)"
2408.jpg,"(0.45, 0.60)"
2800.jpg,"(0.52, 0.63)"
3246.jpg,"(0.50, 0.60)"
4097.jpg,"(0.35, 0.65)"
4785.jpg,"(0.50, 0.45)"
5252.jpg,"(0.50, 0.50)"
5420.jpg,"(0.45, 0.65)"
5454.jpg,"(0.45, 0.65)"
5700.jpg,"(0.45, 0.65)"
6833.jpg,"(0.50, 0.50)"
7867.jpg,"(0.35, 0.65)"
8292.jpg,"(0.52, 0.64)"
8899.jpg,"(0.35, 0.65)"
9029.jpg,"(0.45, 0.65)"
9048.jpg,"(0.50, 0.50)"
9283.jpg,"(0.35, 0.78)"
9422.jpg,"(0.52, 0.64)"
9779.jpg,"(0.52, 0.71)"
10402.jpg,"(0.45, 0.65)"
11252.jpg,"(0.35, 0.75)"
11306.jpg,"(0.35, 0.55)"
11389.jpg,"(0.50, 0.50)"
11452.jpg,"(0.25, 0.60)"
11582.jpg,"(0.52, 0.64)"
11859.jpg,"(0.50, 0.60)"
12241.jpg,"(0.45, 0.65)"
12380.jpg,"(0.50, 0.50)"
12456.jpg,"(0.35, 0.45)"
12802.jpg,"(0.50, 0.60)"
13246.jpg,"(0.50, 0.70)"
13448.jpg,"(0.35, 0.45)"
13536.jpg,"(0.35, 0.60)"
13707.jpg,"(0.50, 0.50)"
14139.jpg,"(0.60, 0.65)"
14201.jpg,"(0.35, 0.60)"
14359.jpg,"(0.50, 0.65)"
14501.jpg,"(0.35, 0.68)"
14782.jpg,"(0.52, 0.60)"
15247.jpg,"(0.55, 0.75)"
