frame,gaze
591.jpg,"(0.25, 0.40)"
717.jpg,"(0.35, 0.70)"
1471.jpg,"(0.45, 0.55)"
1937.jpg,"(0.35, 0.45)"
2084.jpg,"(0.35, 0.45)"
2740.jpg,"(0.45, 0.70)"
2809.jpg,"(0.45, 0.45)"
2899.jpg,"(0.45, 0.55)"
3298.jpg,"(0.45, 0.60)"
3364.jpg,"(0.45, 0.60)"
4015.jpg,"(0.45, 0.60)"
4139.jpg,"(0.45, 0.65)"
4875.jpg,"(0.45, 0.50)"
5449.jpg,"(0.25, 0.85)"
5492.jpg,"(0.52, 0.48)"
5866.jpg,"(0.55, 0.65)"
6038.jpg,"(0.25, 0.60)"
6322.jpg,"(0.25, 0.45)"
7052.jpg,"(0.45, 0.50)"
7236.jpg,"(0.35, 0.45)"
7316.jpg,"(0.45, 0.60)"
7669.jpg,"(0.52, 0.68)"
8241.jpg,"(0.65, 0.55)"
8481.jpg,"(0.25, 0.60)"
8618.jpg,"(0.50, 0.60)"
9049.jpg,"(0.52, 0.65)"
9150.jpg,"(0.25, 0.45)"
9243.jpg,"(0.35, 0.60)"
9430.jpg,"(0.55, 0.47)"
9506.jpg,"(0.45, 0.58)"
9626.jpg,"(0.58, 0.62)"
9872.jpg,"(0.52, 0.65)"
9948.jpg,"(0.35, 0.60)"
10162.jpg,"(0.45, 0.65)"
10298.jpg,"(0.58, 0.52)"
10419.jpg,"(0.52, 0.65)"
10619.jpg,"(0.35, 0.48)"
10844.jpg,"(0.35, 0.45)"
10895.jpg,"(0.25, 0.50)"
11041.jpg,"(0.45, 0.50)"
11187.jpg,"(0.65, 0.45)"
11324.jpg,"(0.25, 0.75)"
11380.jpg,"(0.45, 0.65)"
11575.jpg,"(0.45, 0.65)"
11772.jpg,"(0.35, 0.45)"
11991.jpg,"(0.45, 0.45)"
12032.jpg,"(0.45, 0.50)"
12814.jpg,"(0.35, 0.55)"
12930.jpg,"(0.45, 0.48)"
13627.jpg,"(0.35, 0.55)"
13802.jpg,"(0.45, 0.60)"
13888.jpg,"(0.35, 0.65)"
14049.jpg,"(0.45, 0.58)"
14261.jpg,"(0.52, 0.68)"
14647.jpg,"(0.48, 0.60)"
