frame,gaze
275.jpg,"(0.45, 0.60)"
413.jpg,"(0.52, 0.60)"
561.jpg,"(0.35, 0.65)"
852.jpg,"(0.48, 0.65)"
1057.jpg,"(0.45, 0.55)"
1229.jpg,"(0.25, 0.30)"
2138.jpg,"(0.50, 0.40)"
2284.jpg,"(0.50, 0.45)"
3518.jpg,"(0.45, 0.65)"
3913.jpg,"(0.35, 0.65)"
4011.jpg,"(0.50, 0.60)"
4148.jpg,"(0.65, 0.60)"
4172.jpg,"(0.50, 0.60)"
4346.jpg,"(0.50, 0.60)"
4517.jpg,"(0.48, 0.55)"
4987.jpg,"(0.52, 0.60)"
5883.jpg,"(0.65, 0.45)"
6168.jpg,"(0.45, 0.60)"
6424.jpg,"(0.45, 0.65)"
6735.jpg,"(0.45, 0.60)"
7041.jpg,"(0.25, 0.45)"
7193.jpg,"(0.45, 0.55)"
