frame,gaze
639.jpg,"(0.65, 0.60)"
988.jpg,"(0.65, 0.50)"
1252.jpg,"(0.55, 0.60)"
1736.jpg,"(0.52, 0.63)"
2336.jpg,"(0.54, 0.57)"
3911.jpg,"(0.75, 0.60)"
4858.jpg,"(0.35, 0.52)"
5702.jpg,"(0.52, 0.48)"
6093.jpg,"(0.52, 0.64)"
6146.jpg,"(0.35, 0.65)"
6541.jpg,"(0.35, 0.70)"
6564.jpg,"(0.65, 0.70)"
6999.jpg,"(0.52, 0.60)"
7258.jpg,"(0.52, 0.64)"
8865.jpg,"(0.45, 0.65)"
9097.jpg,"(0.50, 0.60)"
9341.jpg,"(0.25, 0.50)"
10296.jpg,"(0.85, 0.55)"
10625.jpg,"(0.35, 0.65)"
10959.jpg,"(0.35, 0.55)"
11742.jpg,"(0.35, 0.50)"
