frame,gaze
173.jpg,"(0.42, 0.65)"
348.jpg,"(0.58, 0.76)"
400.jpg,"(0.45, 0.60)"
619.jpg,"(0.50, 0.70)"
788.jpg,"(0.45, 0.65)"
1075.jpg,"(0.45, 0.65)"
1098.jpg,"(0.52, 0.65)"
1481.jpg,"(0.52, 0.60)"
1685.jpg,"(0.35, 0.70)"
3284.jpg,"(0.75, 0.65)"
3610.jpg,"(0.58, 0.49)"
4247.jpg,"(0.75, 0.65)"
4390.jpg,"(0.75, 0.70)"
5075.jpg,"(0.65, 0.65)"
5173.jpg,"(0.45, 0.50)"
5586.jpg,"(0.52, 0.78)"
5695.jpg,"(0.45, 0.60)"
5860.jpg,"(0.45, 0.65)"
5886.jpg,"(0.45, 0.80)"
5935.jpg,"(0.45, 0.75)"
5970.jpg,"(0.52, 0.64)"
6003.jpg,"(0.58, 0.64)"
6189.jpg,"(0.65, 0.55)"
6216.jpg,"(0.48, 0.62)"
6433.jpg,"(0.25, 0.75)"
6481.jpg,"(0.52, 0.64)"
7020.jpg,"(0.52, 0.64)"
7105.jpg,"(0.55, 0.45)"
