frame,gaze
101.jpg,"(0.58, 0.64)"
675.jpg,"(0.45, 0.65)"
722.jpg,"(0.50, 0.50)"
787.jpg,"(0.35, 0.65)"
900.jpg,"(0.50, 0.60)"
1018.jpg,"(0.52, 0.65)"
1525.jpg,"(0.65, 0.48)"
1668.jpg,"(0.58, 0.54)"
1815.jpg,"(0.65, 0.65)"
2169.jpg,"(0.65, 0.78)"
2698.jpg,"(0.65, 0.55)"
2763.jpg,"(0.35, 0.48)"
3141.jpg,"(0.55, 0.60)"
3462.jpg,"(0.25, 0.45)"
3540.jpg,"(0.25, 0.60)"
3894.jpg,"(0.45, 0.45)"
5292.jpg,"(0.65, 0.65)"
6141.jpg,"(0.45, 0.65)"
7034.jpg,"(0.45, 0.65)"
7249.jpg,"(0.55, 0.65)"
7390.jpg,"(0.45, 0.60)"
7952.jpg,"(0.35, 0.60)"
8492.jpg,"(0.25, 0.45)"
8659.jpg,"(0.35, 0.72)"
8771.jpg,"(0.45, 0.65)"
8950.jpg,"(0.65, 0.48)"
9028.jpg,"(0.65, 0.65)"
9380.jpg,"(0.60, 0.70)"
9499.jpg,"(0.65, 0.60)"
9804.jpg,"(0.35, 0.48)"
14181.jpg,"(0.58, 0.62)"
14901.jpg,"(0.35, 0.55)"
15057.jpg,"(0.52, 0.45)"
15108.jpg,"(0.35, 0.55)"
15618.jpg,"(0.45, 0.60)"
15824.jpg,"(0.45, 0.25)"
15940.jpg,"(0.45, 0.55)"
16681.jpg,"(0.48, 0.55)"
16991.jpg,"(0.52, 0.63)"
17082.jpg,"(0.54, 0.56)"
17638.jpg,"(0.45, 0.55)"
17752.jpg,"(0.48, 0.56)"
17936.jpg,"(0.45, 0.60)"
18020.jpg,"(0.58, 0.67)"
18380.jpg,"(0.58, 0.64)"
18705.jpg,"(0.58, 0.54)"
18958.jpg,"(0.65, 0.45)"
19580.jpg,"(0.60, 0.70)"
22551.jpg,"(0.75, 0.75)"
22713.jpg,"(0.45, 0.55)"
23054.jpg,"(0.45, 0.48)"
23247.jpg,"(0.45, 0.60)"
23642.jpg,"(0.75, 0.65)"
24011.jpg,"(0.52, 0.58)"
25207.jpg,"(0.75, 0.45)"
26088.jpg,"(0.50, 0.45)"
26516.jpg,"(0.52, 0.50)"
26577.jpg,"(0.52, 0.50)"
28687.jpg,"(0.65, 0.65)"
28875.jpg,"(0.75, 0.60)"
30557.jpg,"(0.50, 0.45)"
30623.jpg,"(0.52, 0.58)"
30852.jpg,"(0.52, 0.48)"
31460.jpg,"(0.50, 0.60)"
31612.jpg,"(0.35, 0.60)"
31862.jpg,"(0.48, 0.62)"
32252.jpg,"(0.50, 0.60)"
32519.jpg,"(0.45, 0.65)"
32712.jpg,"(0.45, 0.60)"
33225.jpg,"(0.45, 0.65)"
33667.jpg,"(0.45, 0.65)"
33943.jpg,"(0.50, 0.60)"
34150.jpg,"(0.50, 0.60)"
34390.jpg,"(0.45, 0.55)"
35040.jpg,"(0.52, 0.54)"
35092.jpg,"(0.55, 0.54)"
35235.jpg,"(0.35, 0.45)"
35436.jpg,"(0.50, 0.45)"
36061.jpg,"(0.58, 0.62)"
36177.jpg,"(0.58, 0.47)"
36229.jpg,"(0.65, 0.48)"
36903.jpg,"(0.55, 0.65)"
36946.jpg,"(0.54, 0.62)"
37094.jpg,"(0.45, 0.60)"
37247.jpg,"(0.65, 0.60)"
37328.jpg,"(0.45, 0.58)"
37503.jpg,"(0.45, 0.55)"
38422.jpg,"(0.52, 0.48)"
38461.jpg,"(0.54, 0.56)"
38588.jpg,"(0.45, 0.65)"
38752.jpg,"(0.35, 0.45)"
38931.jpg,"(0.65, 0.62)"
39165.jpg,"(0.35, 0.42)"
39211.jpg,"(0.48, 0.56)"
39476.jpg,"(0.52, 0.54)"
40439.jpg,"(0.50, 0.45)"
