frame,gaze
300.jpg,"(0.52, 0.64)"
843.jpg,"(0.50, 0.60)"
1093.jpg,"(0.52, 0.60)"
1291.jpg,"(0.58, 0.64)"
1341.jpg,"(0.50, 0.60)"
1602.jpg,"(0.58, 0.76)"
1681.jpg,"(0.45, 0.65)"
1822.jpg,"(0.45, 0.60)"
1972.jpg,"(0.52, 0.78)"
2919.jpg,"(0.52, 0.63)"
2943.jpg,"(0.50, 0.60)"
3049.jpg,"(0.50, 0.60)"
3055.jpg,"(0.52, 0.64)"
3174.jpg,"(0.50, 0.60)"
3317.jpg,"(0.56, 0.54)"
3356.jpg,"(0.52, 0.56)"
3724.jpg,"(0.56, 0.48)"
3790.jpg,"(0.52, 0.58)"
3997.jpg,"(0.45, 0.60)"
4336.jpg,"(0.52, 0.61)"
4639.jpg,"(0.54, 0.60)"
