frame,gaze
311.jpg,"(0.45, 0.65)"
444.jpg,"(0.50, 0.60)"
1089.jpg,"(0.50, 0.60)"
1186.jpg,"(0.35, 0.65)"
1261.jpg,"(0.54, 0.68)"
1375.jpg,"(0.50, 0.60)"
1428.jpg,"(0.35, 0.75)"
1523.jpg,"(0.50, 0.70)"
1956.jpg,"(0.50, 0.75)"
2023.jpg,"(0.55, 0.48)"
2145.jpg,"(0.45, 0.75)"
2419.jpg,"(0.45, 0.72)"
2572.jpg,"(0.50, 0.65)"
3446.jpg,"(0.52, 0.78)"
3541.jpg,"(0.25, 0.75)"
3588.jpg,"(0.52, 0.84)"
3759.jpg,"(0.52, 0.70)"
3942.jpg,"(0.52, 0.84)"
4156.jpg,"(0.54, 0.68)"
4260.jpg,"(0.50, 0.65)"
4801.jpg,"(0.35, 0.75)"
4982.jpg,"(0.25, 0.75)"
5048.jpg,"(0.50, 0.60)"
5122.jpg,"(0.45, 0.65)"
5443.jpg,"(0.35, 0.65)"
5571.jpg,"(0.45, 0.65)"
6106.jpg,"(0.35, 0.75)"
7019.jpg,"(0.35, 0.65)"
7116.jpg,"(0.35, 0.70)"
7447.jpg,"(0.35, 0.75)"
7587.jpg,"(0.52, 0.74)"
8428.jpg,"(0.52, 0.74)"
8545.jpg,"(0.54, 0.78)"
8721.jpg,"(0.48, 0.79)"
8860.jpg,"(0.50, 0.60)"
9531.jpg,"(0.45, 0.80)"
9616.jpg,"(0.50, 0.75)"
9645.jpg,"(0.52, 0.78)"
9749.jpg,"(0.52, 0.76)"
10839.jpg,"(0.50, 0.60)"
10901.jpg,"(0.45, 0.75)"
10975.jpg,"(0.50, 0.60)"
12247.jpg,"(0.35, 0.45)"
12813.jpg,"(0.50, 0.70)"
