frame,gaze
250.jpg,"(0.35, 0.65)"
365.jpg,"(0.50, 0.70)"
430.jpg,"(0.35, 0.70)"
1089.jpg,"(0.48, 0.65)"
1222.jpg,"(0.50, 0.60)"
1336.jpg,"(0.35, 0.45)"
1979.jpg,"(0.50, 0.45)"
2168.jpg,"(0.45, 0.76)"
2316.jpg,"(0.58, 0.76)"
2367.jpg,"(0.50, 0.60)"
2556.jpg,"(0.45, 0.70)"
3239.jpg,"(0.45, 0.62)"
3551.jpg,"(0.50, 0.50)"
3607.jpg,"(0.58, 0.76)"
3885.jpg,"(0.56, 0.78)"
4112.jpg,"(0.45, 0.65)"
4297.jpg,"(0.42, 0.71)"
4592.jpg,"(0.35, 0.65)"
4844.jpg,"(0.42, 0.65)"
5633.jpg,"(0.52, 0.78)"
6163.jpg,"(0.45, 0.65)"
7495.jpg,"(0.42, 0.56)"
7989.jpg,"(0.45, 0.65)"
8671.jpg,"(0.45, 0.65)"
8934.jpg,"(0.50, 0.60)"
9062.jpg,"(0.50, 0.80)"
10354.jpg,"(0.45, 0.75)"
10512.jpg,"(0.45, 0.65)"
11300.jpg,"(0.50, 0.45)"
11397.jpg,"(0.75, 0.65)"
11581.jpg,"(0.54, 0.62)"
11763.jpg,"(0.52, 0.65)"
11937.jpg,"(0.55, 0.60)"
11998.jpg,"(0.65, 0.65)"
12146.jpg,"(0.52, 0.64)"
12858.jpg,"(0.75, 0.85)"
13512.jpg,"(0.52, 0.68)"
13700.jpg,"(0.52, 0.64)"
13812.jpg,"(0.58, 0.72)"
14148.jpg,"(0.48, 0.69)"
14435.jpg,"(0.35, 0.65)"
15868.jpg,"(0.52, 0.74)"
15941.jpg,"(0.35, 0.65)"
16230.jpg,"(0.45, 0.55)"
18008.jpg,"(0.50, 0.60)"
18173.jpg,"(0.75, 0.85)"
18484.jpg,"(0.52, 0.56)"
18520.jpg,"(0.35, 0.45)"
18705.jpg,"(0.45, 0.70)"
18899.jpg,"(0.45, 0.60)"
18997.jpg,"(0.45, 0.65)"
19187.jpg,"(0.35, 0.75)"
19595.jpg,"(0.45, 0.65)"
19964.jpg,"(0.50, 0.70)"
20095.jpg,"(0.52, 0.63)"
20487.jpg,"(0.52, 0.68)"
20841.jpg,"(0.58, 0.64)"
21103.jpg,"(0.52, 0.78)"
21386.jpg,"(0.25, 0.65)"
21540.jpg,"(0.25, 0.90)"
21622.jpg,"(0.45, 0.65)"
21810.jpg,"(0.75, 0.68)"
22100.jpg,"(0.25, 0.45)"
22423.jpg,"(0.58, 0.49)"
22625.jpg,"(0.85, 0.65)"
24771.jpg,"(0.55, 0.65)"
24973.jpg,"(0.58, 0.62)"
25128.jpg,"(0.75, 0.60)"
25376.jpg,"(0.50, 0.60)"
25649.jpg,"(0.58, 0.64)"
25953.jpg,"(0.48, 0.65)"
26923.jpg,"(0.52, 0.60)"
27886.jpg,"(0.58, 0.64)"
27945.jpg,"(0.65, 0.75)"
28115.jpg,"(0.35, 0.45)"
28516.jpg,"(0.52, 0.68)"
29140.jpg,"(0.85, 0.75)"
29227.jpg,"(0.45, 0.65)"
29313.jpg,"(0.35, 0.75)"
29470.jpg,"(0.65, 0.65)"
30013.jpg,"(0.50, 0.50)"
31084.jpg,"(0.45, 0.60)"
31887.jpg,"(0.45, 0.78)"
35309.jpg,"(0.45, 0.65)"
35368.jpg,"(0.54, 0.61)"
35926.jpg,"(0.50, 0.60)"
36061.jpg,"(0.50, 0.70)"
36342.jpg,"(0.50, 0.70)"
