frame,gaze
2132.jpg,"(0.52, 0.45)"
2331.jpg,"(0.50, 0.45)"
2417.jpg,"(0.52, 0.54)"
2660.jpg,"(0.52, 0.60)"
3244.jpg,"(0.52, 0.48)"
3310.jpg,"(0.65, 0.60)"
3410.jpg,"(0.45, 0.60)"
3770.jpg,"(0.52, 0.48)"
3852.jpg,"(0.45, 0.50)"
4624.jpg,"(0.50, 0.45)"
5000.jpg,"(0.50, 0.60)"
5224.jpg,"(0.50, 0.60)"
5238.jpg,"(0.48, 0.62)"
5346.jpg,"(0.65, 0.45)"
5654.jpg,"(0.65, 0.55)"
5871.jpg,"(0.45, 0.65)"
6455.jpg,"(0.52, 0.63)"
6564.jpg,"(0.45, 0.60)"
6615.jpg,"(0.75, 0.30)"
6846.jpg,"(0.50, 0.50)"
7608.jpg,"(0.58, 0.49)"
7730.jpg,"(0.75, 0.45)"
7887.jpg,"(0.50, 0.50)"
8896.jpg,"(0.65, 0.48)"
9330.jpg,"(0.50, 0.40)"
