frame,gaze
183.jpg,"(0.52, 0.60)"
273.jpg,"(0.75, 0.60)"
387.jpg,"(0.45, 0.50)"
570.jpg,"(0.52, 0.54)"
5479.jpg,"(0.65, 0.55)"
5617.jpg,"(0.50, 0.50)"
5863.jpg,"(0.65, 0.55)"
5979.jpg,"(0.58, 0.62)"
6314.jpg,"(0.65, 0.65)"
6664.jpg,"(0.58, 0.46)"
7093.jpg,"(0.65, 0.60)"
7925.jpg,"(0.52, 0.64)"
8415.jpg,"(0.45, 0.55)"
8682.jpg,"(0.65, 0.80)"
9046.jpg,"(0.65, 0.58)"
9131.jpg,"(0.58, 0.62)"
9163.jpg,"(0.45, 0.75)"
9695.jpg,"(0.50, 0.60)"
10181.jpg,"(0.52, 0.68)"
10216.jpg,"(0.45, 0.65)"
10381.jpg,"(0.58, 0.60)"
10640.jpg,"(0.52, 0.60)"
10747.jpg,"(0.45, 0.45)"
11209.jpg,"(0.50, 0.50)"
11332.jpg,"(0.58, 0.64)"
11393.jpg,"(0.35, 0.75)"
11881.jpg,"(0.52, 0.60)"
12408.jpg,"(0.35, 0.45)"
12664.jpg,"(0.50, 0.50)"
12912.jpg,"(0.52, 0.63)"
13591.jpg,"(0.58, 0.49)"
13965.jpg,"(0.45, 0.65)"
14092.jpg,"(0.65, 0.55)"
14558.jpg,"(0.52, 0.61)"
14763.jpg,"(0.45, 0.50)"
16353.jpg,"(0.45, 0.85)"
16507.jpg,"(0.45, 0.70)"
16708.jpg,"(0.58, 0.64)"
17013.jpg,"(0.35, 0.65)"
17863.jpg,"(0.35, 0.80)"
18313.jpg,"(0.45, 0.60)"
18528.jpg,"(0.35, 0.65)"
18605.jpg,"(0.50, 0.50)"
19215.jpg,"(0.75, 0.48)"
19980.jpg,"(0.45, 0.60)"
24557.jpg,"(0.65, 0.60)"
26435.jpg,"(0.85, 0.50)"
26604.jpg,"(0.35, 0.45)"
26749.jpg,"(0.65, 0.75)"
26811.jpg,"(0.35, 0.65)"
27198.jpg,"(0.85, 0.45)"
27312.jpg,"(0.45, 0.65)"
27397.jpg,"(0.45, 0.60)"
28020.jpg,"(0.45, 0.65)"
28080.jpg,"(0.52, 0.64)"
28649.jpg,"(0.35, 0.65)"
28898.jpg,"(0.35, 0.65)"
29141.jpg,"(0.55, 0.60)"
30292.jpg,"(0.50, 0.50)"
30514.jpg,"(0.65, 0.60)"
30562.jpg,"(0.55, 0.65)"
30765.jpg,"(0.65, 0.65)"
30848.jpg,"(0.58, 0.62)"
30913.jpg,"(0.65, 0.70)"
30980.jpg,"(0.65, 0.48)"
31024.jpg,"(0.52, 0.68)"
31551.jpg,"(0.45, 0.60)"
32181.jpg,"(0.52, 0.60)"
32670.jpg,"(0.65, 0.75)"
33184.jpg,"(0.50, 0.60)"
33773.jpg,"(0.52, 0.76)"
33816.jpg,"(0.45, 0.78)"
34449.jpg,"(0.35, 0.75)"
34613.jpg,"(0.45, 0.55)"
34963.jpg,"(0.45, 0.65)"
35162.jpg,"(0.58, 0.56)"
35308.jpg,"(0.58, 0.62)"
36409.jpg,"(0.52, 0.58)"
37319.jpg,"(0.65, 0.68)"
37368.jpg,"(0.65, 0.68)"
38489.jpg,"(0.58, 0.62)"
39602.jpg,"(0.52, 0.84)"
39895.jpg,"(0.45, 0.55)"
40462.jpg,"(0.45, 0.65)"
40825.jpg,"(0.45, 0.48)"
42649.jpg,"(0.45, 0.65)"
42843.jpg,"(0.75, 0.60)"
43215.jpg,"(0.65, 0.80)"
43254.jpg,"(0.65, 0.75)"
43569.jpg,"(0.50, 0.45)"
43903.jpg,"(0.54, 0.63)"
44135.jpg,"(0.58, 0.72)"
44415.jpg,"(0.35, 0.65)"
44743.jpg,"(0.54, 0.60)"
45271.jpg,"(0.58, 0.76)"
45348.jpg,"(0.52, 0.64)"
45519.jpg,"(0.35, 0.65)"
46232.jpg,"(0.52, 0.60)"
