frame,gaze
3067.jpg,"(0.65, 0.65)"
3191.jpg,"(0.65, 0.72)"
3252.jpg,"(0.30, 0.25)"
3641.jpg,"(0.52, 0.65)"
3848.jpg,"(0.52, 0.64)"
4010.jpg,"(0.56, 0.78)"
4099.jpg,"(0.65, 0.75)"
4650.jpg,"(0.45, 0.65)"
4843.jpg,"(0.70, 0.75)"
4959.jpg,"(0.45, 0.72)"
5003.jpg,"(0.52, 0.64)"
6213.jpg,"(0.55, 0.75)"
6353.jpg,"(0.45, 0.65)"
6446.jpg,"(0.65, 0.70)"
6567.jpg,"(0.58, 0.56)"
6771.jpg,"(0.35, 0.65)"
6881.jpg,"(0.45, 0.48)"
7025.jpg,"(0.58, 0.62)"
7204.jpg,"(0.35, 0.68)"
7421.jpg,"(0.65, 0.75)"
8080.jpg,"(0.35, 0.58)"
8232.jpg,"(0.45, 0.65)"
8536.jpg,"(0.45, 0.65)"
9411.jpg,"(0.35, 0.75)"
9540.jpg,"(0.65, 0.70)"
9793.jpg,"(0.35, 0.75)"
9858.jpg,"(0.52, 0.78)"
9958.jpg,"(0.65, 0.70)"
10084.jpg,"(0.54, 0.63)"
11434.jpg,"(0.52, 0.60)"
12236.jpg,"(0.45, 0.60)"
12272.jpg,"(0.52, 0.49)"
12644.jpg,"(0.65, 0.70)"
13092.jpg,"(0.65, 0.70)"
13172.jpg,"(0.50, 0.60)"
13291.jpg,"(0.58, 0.64)"
13520.jpg,"(0.45, 0.85)"
13636.jpg,"(0.52, 0.48)"
13785.jpg,"(0.50, 0.65)"
14067.jpg,"(0.65, 0.65)"
14784.jpg,"(0.65, 0.60)"
14893.jpg,"(0.65, 0.75)"
15064.jpg,"(0.52, 0.68)"
15228.jpg,"(0.65, 0.70)"
15732.jpg,"(0.65, 0.70)"
16629.jpg,"(0.45, 0.75)"
16773.jpg,"(0.65, 0.70)"
17754.jpg,"(0.58, 0.65)"
17816.jpg,"(0.75, 0.65)"
17858.jpg,"(0.50, 0.80)"
18081.jpg,"(0.55, 0.65)"
18792.jpg,"(0.45, 0.75)"
19011.jpg,"(0.65, 0.75)"
20440.jpg,"(0.58, 0.64)"
20610.jpg,"(0.65, 0.70)"
21194.jpg,"(0.52, 0.60)"
21251.jpg,"(0.52, 0.54)"
21358.jpg,"(0.52, 0.64)"
21429.jpg,"(0.45, 0.75)"
21495.jpg,"(0.65, 0.60)"
21896.jpg,"(0.35, 0.65)"
22348.jpg,"(0.50, 0.60)"
22607.jpg,"(0.52, 0.61)"
23023.jpg,"(0.75, 0.65)"
