frame,gaze
310.jpg,"(0.52, 0.68)"
365.jpg,"(0.52, 0.68)"
426.jpg,"(0.55, 0.65)"
458.jpg,"(0.54, 0.68)"
596.jpg,"(0.65, 0.75)"
1049.jpg,"(0.45, 0.60)"
1133.jpg,"(0.65, 0.65)"
1242.jpg,"(0.50, 0.60)"
1727.jpg,"(0.52, 0.63)"
1811.jpg,"(0.45, 0.50)"
1865.jpg,"(0.50, 0.50)"
1872.jpg,"(0.75, 0.65)"
1985.jpg,"(0.65, 0.58)"
2147.jpg,"(0.52, 0.64)"
2173.jpg,"(0.57, 0.64)"
2411.jpg,"(0.54, 0.56)"
2433.jpg,"(0.58, 0.60)"
2531.jpg,"(0.65, 0.55)"
2889.jpg,"(0.65, 0.60)"
3120.jpg,"(0.65, 0.65)"
3303.jpg,"(0.45, 0.60)"
3382.jpg,"(0.50, 0.60)"
