frame,gaze
424.jpg,"(0.60, 0.65)"
829.jpg,"(0.45, 0.60)"
1058.jpg,"(0.45, 0.55)"
1172.jpg,"(0.52, 0.65)"
1226.jpg,"(0.50, 0.60)"
1469.jpg,"(0.45, 0.55)"
1575.jpg,"(0.58, 0.62)"
1730.jpg,"(0.52, 0.60)"
2119.jpg,"(0.52, 0.64)"
2259.jpg,"(0.35, 0.60)"
2849.jpg,"(0.50, 0.60)"
2857.jpg,"(0.50, 0.60)"
2950.jpg,"(0.45, 0.55)"
3432.jpg,"(0.45, 0.48)"
3456.jpg,"(0.50, 0.60)"
3552.jpg,"(0.65, 0.65)"
3650.jpg,"(0.45, 0.50)"
5429.jpg,"(0.55, 0.63)"
5460.jpg,"(0.52, 0.68)"
5506.jpg,"(0.50, 0.60)"
5669.jpg,"(0.50, 0.60)"
5825.jpg,"(0.45, 0.60)"
5885.jpg,"(0.35, 0.65)"
6301.jpg,"(0.50, 0.45)"
7194.jpg,"(0.52, 0.60)"
7269.jpg,"(0.52, 0.65)"
7607.jpg,"(0.65, 0.65)"
9535.jpg,"(0.45, 0.65)"
9643.jpg,"(0.50, 0.65)"
