frame,gaze
689.jpg,"(0.58, 0.60)"
859.jpg,"(0.45, 0.55)"
1206.jpg,"(0.60, 0.60)"
2022.jpg,"(0.58, 0.60)"
2122.jpg,"(0.54, 0.42)"
3119.jpg,"(0.70, 0.65)"
3519.jpg,"(0.45, 0.60)"
3641.jpg,"(0.50, 0.50)"
3724.jpg,"(0.50, 0.60)"
3868.jpg,"(0.45, 0.60)"
3921.jpg,"(0.45, 0.50)"
4335.jpg,"(0.50, 0.48)"
4362.jpg,"(0.52, 0.48)"
4452.jpg,"(0.50, 0.45)"
4463.jpg,"(0.50, 0.45)"
4582.jpg,"(0.50, 0.60)"
4964.jpg,"(0.52, 0.48)"
5139.jpg,"(0.45, 0.55)"
5460.jpg,"(0.45, 0.50)"
5801.jpg,"(0.52, 0.68)"
6480.jpg,"(0.58, 0.52)"
7104.jpg,"(0.75, 0.95)"
7150.jpg,"(0.45, 0.45)"
7489.jpg,"(0.50, 0.60)"
7755.jpg,"(0.45, 0.60)"
7945.jpg,"(0.58, 0.62)"
8035.jpg,"(0.45, 0.63)"
8116.jpg,"(0.65, 0.85)"
8361.jpg,"(0.45, 0.65)"
