frame,gaze
2091.jpg,"(0.58, 0.67)"
2454.jpg,"(0.58, 0.67)"
2551.jpg,"(0.45, 0.70)"
3122.jpg,"(0.35, 0.60)"
3478.jpg,"(0.50, 0.60)"
3555.jpg,"(0.50, 0.65)"
3707.jpg,"(0.45, 0.65)"
3771.jpg,"(0.56, 0.68)"
4053.jpg,"(0.50, 0.70)"
4121.jpg,"(0.50, 0.75)"
4241.jpg,"(0.58, 0.81)"
4253.jpg,"(0.59, 0.81)"
4523.jpg,"(0.58, 0.79)"
4598.jpg,"(0.65, 0.63)"
4854.jpg,"(0.50, 0.70)"
5015.jpg,"(0.50, 0.60)"
5202.jpg,"(0.52, 0.68)"
5243.jpg,"(0.52, 0.70)"
5470.jpg,"(0.50, 0.65)"
6066.jpg,"(0.60, 0.80)"
6592.jpg,"(0.50, 0.65)"
6771.jpg,"(0.50, 0.65)"
7021.jpg,"(0.50, 0.65)"
7214.jpg,"(0.65, 0.65)"
7553.jpg,"(0.65, 0.48)"
