frame,gaze
176.jpg,"(0.45, 0.75)"
795.jpg,"(0.50, 0.60)"
1100.jpg,"(0.35, 0.65)"
1682.jpg,"(0.35, 0.45)"
4136.jpg,"(0.35, 0.65)"
4303.jpg,"(0.50, 0.70)"
4521.jpg,"(0.52, 0.74)"
4777.jpg,"(0.50, 0.45)"
5004.jpg,"(0.50, 0.60)"
5723.jpg,"(0.58, 0.62)"
6384.jpg,"(0.45, 0.65)"
7162.jpg,"(0.50, 0.60)"
7479.jpg,"(0.50, 0.65)"
7747.jpg,"(0.50, 0.50)"
8277.jpg,"(0.50, 0.50)"
8588.jpg,"(0.50, 0.60)"
8649.jpg,"(0.45, 0.35)"
8863.jpg,"(0.50, 0.70)"
9081.jpg,"(0.50, 0.60)"
9248.jpg,"(0.58, 0.32)"
9709.jpg,"(0.50, 0.60)"
10022.jpg,"(0.50, 0.45)"
10892.jpg,"(0.50, 0.45)"
11698.jpg,"(0.50, 0.50)"
12704.jpg,"(0.35, 0.55)"
13289.jpg,"(0.50, 0.60)"
