frame,gaze
2132.jpg,"(0.65, 0.58)"
2555.jpg,"(0.45, 0.60)"
2643.jpg,"(0.45, 0.65)"
2801.jpg,"(0.45, 0.65)"
2895.jpg,"(0.45, 0.65)"
3494.jpg,"(0.52, 0.68)"
3554.jpg,"(0.45, 0.65)"
3863.jpg,"(0.52, 0.89)"
3900.jpg,"(0.35, 0.65)"
4128.jpg,"(0.45, 0.65)"
4143.jpg,"(0.50, 0.60)"
4316.jpg,"(0.45, 0.65)"
4445.jpg,"(0.52, 0.68)"
5018.jpg,"(0.52, 0.68)"
5351.jpg,"(0.65, 0.68)"
5513.jpg,"(0.65, 0.70)"
5553.jpg,"(0.52, 0.64)"
6002.jpg,"(0.45, 0.65)"
6578.jpg,"(0.59, 0.93)"
6753.jpg,"(0.50, 0.50)"
7062.jpg,"(0.56, 0.49)"
