frame,gaze
574.jpg,"(0.35, 0.75)"
631.jpg,"(0.50, 0.45)"
718.jpg,"(0.45, 0.50)"
1071.jpg,"(0.45, 0.75)"
1259.jpg,"(0.50, 0.60)"
1584.jpg,"(0.45, 0.75)"
2255.jpg,"(0.58, 0.92)"
2355.jpg,"(0.48, 0.79)"
3264.jpg,"(0.45, 0.70)"
3319.jpg,"(0.35, 0.75)"
3467.jpg,"(0.35, 0.75)"
3664.jpg,"(0.45, 0.75)"
3765.jpg,"(0.58, 0.67)"
5634.jpg,"(0.45, 0.65)"
5687.jpg,"(0.45, 0.60)"
6525.jpg,"(0.45, 0.65)"
6600.jpg,"(0.50, 0.60)"
6860.jpg,"(0.58, 0.76)"
6939.jpg,"(0.58, 0.67)"
7796.jpg,"(0.58, 0.67)"
7918.jpg,"(0.58, 0.62)"
10627.jpg,"(0.45, 0.80)"
10675.jpg,"(0.50, 0.65)"
10842.jpg,"(0.58, 0.69)"
11170.jpg,"(0.35, 0.80)"
11227.jpg,"(0.45, 0.65)"
11403.jpg,"(0.52, 0.68)"
11446.jpg,"(0.52, 0.74)"
11576.jpg,"(0.58, 0.72)"
12228.jpg,"(0.52, 0.83)"
12276.jpg,"(0.35, 0.75)"
12492.jpg,"(0.58, 0.72)"
13278.jpg,"(0.45, 0.60)"
13422.jpg,"(0.58, 0.69)"
13833.jpg,"(0.50, 0.60)"
13956.jpg,"(0.45, 0.65)"
14245.jpg,"(0.55, 0.65)"
14305.jpg,"(0.50, 0.60)"
14382.jpg,"(0.58, 0.72)"
14713.jpg,"(0.48, 0.72)"
15248.jpg,"(0.52, 0.71)"
15586.jpg,"(0.52, 0.83)"
15810.jpg,"(0.52, 0.78)"
16443.jpg,"(0.35, 0.75)"
16524.jpg,"(0.48, 0.86)"
16719.jpg,"(0.45, 0.55)"
16940.jpg,"(0.75, 0.45)"
17307.jpg,"(0.52, 0.86)"
17369.jpg,"(0.35, 0.65)"
17540.jpg,"(0.35, 0.80)"
17745.jpg,"(0.45, 0.70)"
18093.jpg,"(0.58, 0.62)"
18191.jpg,"(0.75, 0.70)"
18226.jpg,"(0.58, 0.72)"
18703.jpg,"(0.45, 0.60)"
18737.jpg,"(0.45, 0.60)"
19314.jpg,"(0.52, 0.68)"
19643.jpg,"(0.45, 0.58)"
19849.jpg,"(0.50, 0.70)"
20758.jpg,"(0.42, 0.78)"
20862.jpg,"(0.35, 0.60)"
20905.jpg,"(0.48, 0.86)"
21039.jpg,"(0.45, 0.75)"
21045.jpg,"(0.48, 0.65)"
21252.jpg,"(0.52, 0.84)"
21381.jpg,"(0.45, 0.50)"
22103.jpg,"(0.52, 0.84)"
22132.jpg,"(0.48, 0.65)"
22385.jpg,"(0.45, 0.80)"
