frame,gaze
298.jpg,"(0.65, 0.80)"
400.jpg,"(0.52, 0.68)"
657.jpg,"(0.52, 0.60)"
684.jpg,"(0.52, 0.60)"
1903.jpg,"(0.50, 0.45)"
2171.jpg,"(0.35, 0.42)"
2343.jpg,"(0.52, 0.60)"
2413.jpg,"(0.45, 0.55)"
2588.jpg,"(0.35, 0.65)"
2619.jpg,"(0.52, 0.61)"
3487.jpg,"(0.65, 0.60)"
4034.jpg,"(0.45, 0.45)"
4114.jpg,"(0.45, 0.60)"
4449.jpg,"(0.45, 0.55)"
4707.jpg,"(0.50, 0.40)"
5025.jpg,"(0.35, 0.48)"
5306.jpg,"(0.45, 0.38)"
5601.jpg,"(0.65, 0.45)"
5752.jpg,"(0.35, 0.45)"
5837.jpg,"(0.45, 0.60)"
6230.jpg,"(0.52, 0.58)"
6724.jpg,"(0.35, 0.50)"
6851.jpg,"(0.35, 0.45)"
7282.jpg,"(0.50, 0.50)"
7426.jpg,"(0.52, 0.54)"
7512.jpg,"(0.58, 0.60)"
7817.jpg,"(0.52, 0.60)"
8495.jpg,"(0.58, 0.49)"
8680.jpg,"(0.52, 0.54)"
8964.jpg,"(0.35, 0.45)"
9388.jpg,"(0.80, 0.65)"
9987.jpg,"(0.35, 0.60)"
10060.jpg,"(0.45, 0.55)"
10533.jpg,"(0.58, 0.49)"
10635.jpg,"(0.58, 0.69)"
10747.jpg,"(0.45, 0.60)"
11265.jpg,"(0.35, 0.45)"
11462.jpg,"(0.65, 0.75)"
11602.jpg,"(0.45, 0.60)"
12074.jpg,"(0.45, 0.60)"
12474.jpg,"(0.45, 0.55)"
12756.jpg,"(0.65, 0.60)"
12936.jpg,"(0.35, 0.45)"
13303.jpg,"(0.45, 0.38)"
13558.jpg,"(0.52, 0.60)"
13838.jpg,"(0.45, 0.60)"
14282.jpg,"(0.58, 0.49)"
14335.jpg,"(0.55, 0.55)"
14916.jpg,"(0.50, 0.45)"
15261.jpg,"(0.75, 0.60)"
15709.jpg,"(0.45, 0.60)"
16082.jpg,"(0.65, 0.55)"
16889.jpg,"(0.35, 0.45)"
17284.jpg,"(0.45, 0.55)"
17681.jpg,"(0.45, 0.65)"
17878.jpg,"(0.45, 0.48)"
18629.jpg,"(0.45, 0.65)"
19416.jpg,"(0.48, 0.56)"
21080.jpg,"(0.65, 0.65)"
23184.jpg,"(0.52, 0.60)"
24224.jpg,"(0.65, 0.65)"
26446.jpg,"(0.75, 0.60)"
26767.jpg,"(0.65, 0.55)"
26940.jpg,"(0.45, 0.60)"
27252.jpg,"(0.35, 0.55)"
27550.jpg,"(0.45, 0.55)"
27753.jpg,"(0.58, 0.62)"
27966.jpg,"(0.25, 0.65)"
28905.jpg,"(0.52, 0.54)"
29077.jpg,"(0.65, 0.48)"
29323.jpg,"(0.52, 0.49)"
29519.jpg,"(0.35, 0.60)"
30101.jpg,"(0.45, 0.65)"
30171.jpg,"(0.58, 0.60)"
30549.jpg,"(0.52, 0.54)"
30694.jpg,"(0.35, 0.45)"
31038.jpg,"(0.53, 0.51)"
