frame,gaze
101.jpg,"(0.35, 0.65)"
220.jpg,"(0.50, 0.40)"
754.jpg,"(0.35, 0.45)"
818.jpg,"(0.35, 0.55)"
980.jpg,"(0.45, 0.48)"
1109.jpg,"(0.52, 0.58)"
1772.jpg,"(0.52, 0.63)"
1810.jpg,"(0.52, 0.64)"
1983.jpg,"(0.35, 0.60)"
2238.jpg,"(0.45, 0.65)"
2430.jpg,"(0.52, 0.60)"
2583.jpg,"(0.35, 0.60)"
2829.jpg,"(0.45, 0.60)"
2905.jpg,"(0.35, 0.42)"
3989.jpg,"(0.75, 0.50)"
4037.jpg,"(0.35, 0.65)"
4493.jpg,"(0.58, 0.67)"
4545.jpg,"(0.50, 0.60)"
4601.jpg,"(0.45, 0.60)"
4638.jpg,"(0.50, 0.50)"
4662.jpg,"(0.45, 0.52)"
4858.jpg,"(0.52, 0.60)"
4934.jpg,"(0.45, 0.55)"
4980.jpg,"(0.85, 0.60)"
5129.jpg,"(0.45, 0.70)"
5194.jpg,"(0.48, 0.72)"
5893.jpg,"(0.45, 0.68)"
7114.jpg,"(0.45, 0.78)"
7187.jpg,"(0.45, 0.72)"
8301.jpg,"(0.45, 0.68)"
8472.jpg,"(0.45, 0.65)"
8502.jpg,"(0.45, 0.60)"
9301.jpg,"(0.48, 0.61)"
9388.jpg,"(0.52, 0.68)"
9689.jpg,"(0.50, 0.50)"
9760.jpg,"(0.35, 0.60)"
9988.jpg,"(0.45, 0.65)"
10028.jpg,"(0.75, 0.60)"
10224.jpg,"(0.35, 0.60)"
10459.jpg,"(0.48, 0.62)"
10976.jpg,"(0.45, 0.60)"
11039.jpg,"(0.65, 0.75)"
11611.jpg,"(0.50, 0.60)"
11738.jpg,"(0.52, 0.60)"
11808.jpg,"(0.52, 0.67)"
