frame,gaze
1777.jpg,"(0.45, 0.50)"
1860.jpg,"(0.52, 0.60)"
2952.jpg,"(0.50, 0.50)"
3226.jpg,"(0.58, 0.67)"
3368.jpg,"(0.25, 0.65)"
3665.jpg,"(0.52, 0.60)"
3840.jpg,"(0.65, 0.55)"
4098.jpg,"(0.56, 0.62)"
4187.jpg,"(0.45, 0.58)"
4369.jpg,"(0.52, 0.60)"
4525.jpg,"(0.58, 0.62)"
4696.jpg,"(0.65, 0.60)"
5363.jpg,"(0.45, 0.65)"
5425.jpg,"(0.50, 0.60)"
5605.jpg,"(0.50, 0.65)"
5625.jpg,"(0.50, 0.70)"
5867.jpg,"(0.50, 0.60)"
6554.jpg,"(0.52, 0.64)"
6912.jpg,"(0.65, 0.58)"
7332.jpg,"(0.75, 0.58)"
7749.jpg,"(0.45, 0.65)"
8118.jpg,"(0.52, 0.60)"
