frame,gaze
1227.jpg,"(0.45, 0.65)"
1499.jpg,"(0.54, 0.83)"
2052.jpg,"(0.35, 0.60)"
6170.jpg,"(0.52, 0.74)"
6266.jpg,"(0.35, 0.75)"
6951.jpg,"(0.35, 0.65)"
7124.jpg,"(0.52, 0.68)"
7255.jpg,"(0.45, 0.65)"
7555.jpg,"(0.48, 0.69)"
8805.jpg,"(0.58, 0.64)"
10739.jpg,"(0.58, 0.67)"
11789.jpg,"(0.54, 0.76)"
11897.jpg,"(0.45, 0.55)"
12153.jpg,"(0.58, 0.62)"
12330.jpg,"(0.52, 0.60)"
12800.jpg,"(0.45, 0.80)"
13240.jpg,"(0.45, 0.70)"
14486.jpg,"(0.45, 0.70)"
15535.jpg,"(0.58, 0.76)"
15719.jpg,"(0.35, 0.78)"
15954.jpg,"(0.25, 0.65)"
16982.jpg,"(0.45, 0.65)"
17127.jpg,"(0.52, 0.68)"
18006.jpg,"(0.35, 0.65)"
18152.jpg,"(0.50, 0.75)"
19069.jpg,"(0.35, 0.75)"
20045.jpg,"(0.35, 0.65)"
20198.jpg,"(0.65, 0.60)"
20384.jpg,"(0.35, 0.60)"
22963.jpg,"(0.45, 0.65)"
24206.jpg,"(0.45, 0.65)"
24568.jpg,"(0.45, 0.70)"
25723.jpg,"(0.52, 0.74)"
25913.jpg,"(0.45, 0.65)"
25916.jpg,"(0.45, 0.65)"
26908.jpg,"(0.35, 0.85)"
27211.jpg,"(0.65, 0.62)"
27299.jpg,"(0.45, 0.85)"
27630.jpg,"(0.52, 0.68)"
28271.jpg,"(0.52, 0.64)"
28818.jpg,"(0.65, 0.85)"
29188.jpg,"(0.65, 0.72)"
29477.jpg,"(0.52, 0.68)"
29973.jpg,"(0.52, 0.68)"
30577.jpg,"(0.45, 0.65)"
31150.jpg,"(0.55, 0.68)"
31884.jpg,"(0.52, 0.64)"
