frame,gaze
471.jpg,"(0.35, 0.65)"
960.jpg,"(0.50, 0.70)"
1185.jpg,"(0.35, 0.70)"
2273.jpg,"(0.50, 0.60)"
3056.jpg,"(0.45, 0.65)"
4533.jpg,"(0.35, 0.45)"
4995.jpg,"(0.50, 0.60)"
6000.jpg,"(0.35, 0.65)"
7054.jpg,"(0.42, 0.89)"
7596.jpg,"(0.65, 0.85)"
7738.jpg,"(0.58, 0.72)"
8175.jpg,"(0.65, 0.65)"
8522.jpg,"(0.50, 0.60)"
8595.jpg,"(0.65, 0.78)"
8898.jpg,"(0.58, 0.79)"
9215.jpg,"(0.58, 0.76)"
9416.jpg,"(0.54, 0.80)"
9696.jpg,"(0.58, 0.81)"
9884.jpg,"(0.58, 0.92)"
10366.jpg,"(0.54, 0.72)"
10554.jpg,"(0.45, 0.87)"
11310.jpg,"(0.52, 0.86)"
11568.jpg,"(0.45, 0.50)"
