frame,gaze
422.jpg,"(0.25, 0.45)"
646.jpg,"(0.50, 0.60)"
2092.jpg,"(0.35, 0.45)"
2279.jpg,"(0.45, 0.60)"
2435.jpg,"(0.45, 0.60)"
2740.jpg,"(0.52, 0.61)"
3647.jpg,"(0.35, 0.65)"
3917.jpg,"(0.48, 0.62)"
4324.jpg,"(0.45, 0.55)"
4367.jpg,"(0.35, 0.65)"
4467.jpg,"(0.52, 0.64)"
4766.jpg,"(0.52, 0.65)"
4813.jpg,"(0.45, 0.60)"
6275.jpg,"(0.25, 0.65)"
6368.jpg,"(0.45, 0.65)"
6494.jpg,"(0.58, 0.63)"
6569.jpg,"(0.35, 0.65)"
6635.jpg,"(0.58, 0.67)"
6766.jpg,"(0.45, 0.60)"
6836.jpg,"(0.45, 0.65)"
7565.jpg,"(0.45, 0.60)"
7736.jpg,"(0.52, 0.68)"
8055.jpg,"(0.35, 0.65)"
