frame,gaze
252.jpg,"(0.58, 0.64)"
375.jpg,"(0.58, 0.52)"
482.jpg,"(0.35, 0.65)"
516.jpg,"(0.45, 0.45)"
1081.jpg,"(0.45, 0.50)"
1168.jpg,"(0.45, 0.45)"
1271.jpg,"(0.45, 0.65)"
1406.jpg,"(0.45, 0.65)"
1482.jpg,"(0.58, 0.62)"
2097.jpg,"(0.25, 0.65)"
2234.jpg,"(0.54, 0.52)"
2339.jpg,"(0.35, 0.45)"
2508.jpg,"(0.45, 0.50)"
2801.jpg,"(0.45, 0.48)"
2849.jpg,"(0.48, 0.52)"
2938.jpg,"(0.15, 0.55)"
3074.jpg,"(0.45, 0.55)"
3158.jpg,"(0.55, 0.60)"
3229.jpg,"(0.35, 0.60)"
3397.jpg,"(0.45, 0.55)"
3501.jpg,"(0.35, 0.60)"
3552.jpg,"(0.52, 0.56)"
4802.jpg,"(0.45, 0.35)"
4842.jpg,"(0.45, 0.38)"
5279.jpg,"(0.35, 0.65)"
5492.jpg,"(0.45, 0.65)"
