frame,gaze
278.jpg,"(0.50, 0.60)"
658.jpg,"(0.52, 0.74)"
1241.jpg,"(0.45, 0.70)"
1461.jpg,"(0.35, 0.75)"
1642.jpg,"(0.35, 0.75)"
1702.jpg,"(0.35, 0.75)"
1775.jpg,"(0.50, 0.65)"
2089.jpg,"(0.45, 0.65)"
2152.jpg,"(0.50, 0.60)"
2241.jpg,"(0.35, 0.65)"
2678.jpg,"(0.50, 0.60)"
2904.jpg,"(0.50, 0.60)"
3199.jpg,"(0.50, 0.65)"
3243.jpg,"(0.50, 0.80)"
3494.jpg,"(0.52, 0.74)"
3699.jpg,"(0.50, 0.75)"
3924.jpg,"(0.45, 0.75)"
4110.jpg,"(0.52, 0.68)"
4195.jpg,"(0.52, 0.68)"
4257.jpg,"(0.50, 0.75)"
4441.jpg,"(0.50, 0.75)"
4679.jpg,"(0.65, 0.75)"
4855.jpg,"(0.45, 0.65)"
4969.jpg,"(0.50, 0.70)"
5064.jpg,"(0.50, 0.75)"
5607.jpg,"(0.35, 0.75)"
5668.jpg,"(0.35, 0.45)"
5807.jpg,"(0.50, 0.70)"
5964.jpg,"(0.50, 0.80)"
6053.jpg,"(0.52, 0.75)"
6684.jpg,"(0.35, 0.75)"
6730.jpg,"(0.35, 0.65)"
6988.jpg,"(0.45, 0.70)"
7104.jpg,"(0.35, 0.65)"
7648.jpg,"(0.35, 0.65)"
7859.jpg,"(0.50, 0.60)"
8011.jpg,"(0.35, 0.45)"
