frame,gaze
684.jpg,"(0.65, 0.70)"
1446.jpg,"(0.50, 0.60)"
1795.jpg,"(0.50, 0.60)"
1972.jpg,"(0.50, 0.60)"
1996.jpg,"(0.52, 0.63)"
2248.jpg,"(0.52, 0.65)"
2361.jpg,"(0.54, 0.58)"
2850.jpg,"(0.50, 0.60)"
2883.jpg,"(0.45, 0.65)"
3190.jpg,"(0.45, 0.65)"
3197.jpg,"(0.58, 0.72)"
3402.jpg,"(0.65, 0.65)"
3597.jpg,"(0.62, 0.63)"
3659.jpg,"(0.58, 0.60)"
3920.jpg,"(0.52, 0.64)"
4110.jpg,"(0.52, 0.54)"
4278.jpg,"(0.52, 0.48)"
4457.jpg,"(0.65, 0.65)"
4710.jpg,"(0.52, 0.60)"
5598.jpg,"(0.52, 0.54)"
5798.jpg,"(0.52, 0.80)"
6031.jpg,"(0.50, 0.60)"
