frame,gaze
214.jpg,"(0.65, 0.70)"
315.jpg,"(0.75, 0.70)"
561.jpg,"(0.65, 0.75)"
654.jpg,"(0.45, 0.55)"
717.jpg,"(0.45, 0.60)"
1009.jpg,"(0.35, 0.75)"
1118.jpg,"(0.45, 0.65)"
1667.jpg,"(0.75, 0.65)"
2913.jpg,"(0.50, 0.60)"
3037.jpg,"(0.45, 0.65)"
3547.jpg,"(0.85, 0.65)"
3925.jpg,"(0.45, 0.65)"
4367.jpg,"(0.48, 0.72)"
4765.jpg,"(0.45, 0.85)"
4832.jpg,"(0.45, 0.68)"
4876.jpg,"(0.58, 0.76)"
5153.jpg,"(0.25, 0.60)"
5378.jpg,"(0.52, 0.68)"
5735.jpg,"(0.45, 0.65)"
5807.jpg,"(0.45, 0.60)"
6304.jpg,"(0.50, 0.60)"
