frame,gaze
269.jpg,"(0.85, 0.79)"
649.jpg,"(0.35, 0.85)"
707.jpg,"(0.72, 0.68)"
855.jpg,"(0.50, 0.40)"
1010.jpg,"(0.35, 0.60)"
1199.jpg,"(0.35, 0.55)"
1347.jpg,"(0.50, 0.50)"
1405.jpg,"(0.50, 0.60)"
1602.jpg,"(0.50, 0.60)"
1848.jpg,"(0.45, 0.65)"
1906.jpg,"(0.25, 0.70)"
2053.jpg,"(0.52, 0.63)"
2179.jpg,"(0.50, 0.70)"
2680.jpg,"(0.65, 0.80)"
2828.jpg,"(0.35, 0.65)"
3105.jpg,"(0.50, 0.60)"
3155.jpg,"(0.50, 0.60)"
3272.jpg,"(0.50, 0.60)"
5126.jpg,"(0.55, 0.75)"
5627.jpg,"(0.50, 0.90)"
6354.jpg,"(0.45, 0.65)"
7581.jpg,"(0.45, 0.75)"
8785.jpg,"(0.45, 0.65)"
9474.jpg,"(0.65, 0.92)"
9579.jpg,"(0.25, 0.75)"
9716.jpg,"(0.50, 0.60)"
12374.jpg,"(0.52, 0.74)"
12450.jpg,"(0.45, 0.65)"
12485.jpg,"(0.52, 0.68)"
12579.jpg,"(0.50, 0.60)"
12845.jpg,"(0.35, 0.45)"
13215.jpg,"(0.35, 0.70)"
13302.jpg,"(0.52, 0.68)"
13354.jpg,"(0.35, 0.45)"
13460.jpg,"(0.50, 0.60)"
15050.jpg,"(0.35, 0.75)"
15441.jpg,"(0.48, 0.65)"
15566.jpg,"(0.35, 0.65)"
15729.jpg,"(0.50, 0.50)"
16259.jpg,"(0.50, 0.50)"
16839.jpg,"(0.35, 0.65)"
17032.jpg,"(0.52, 0.78)"
17389.jpg,"(0.35, 0.45)"
17852.jpg,"(0.65, 0.75)"
18254.jpg,"(0.35, 0.45)"
18736.jpg,"(0.50, 0.50)"
19339.jpg,"(0.35, 0.65)"
20634.jpg,"(0.65, 0.75)"
21125.jpg,"(0.25, 0.75)"
23309.jpg,"(0.45, 0.68)"
23396.jpg,"(0.45, 0.85)"
23923.jpg,"(0.35, 0.75)"
24215.jpg,"(0.45, 0.75)"
24266.jpg,"(0.35, 0.70)"
