frame,gaze
330.jpg,"(0.55, 0.65)"
1670.jpg,"(0.35, 0.65)"
2431.jpg,"(0.35, 0.85)"
2768.jpg,"(0.45, 0.68)"
2821.jpg,"(0.15, 0.20)"
3978.jpg,"(0.52, 0.64)"
7858.jpg,"(0.58, 0.64)"
8585.jpg,"(0.45, 0.60)"
10027.jpg,"(0.45, 0.60)"
10625.jpg,"(0.45, 0.75)"
12652.jpg,"(0.45, 0.55)"
13346.jpg,"(0.45, 0.60)"
14349.jpg,"(0.45, 0.60)"
14725.jpg,"(0.58, 0.49)"
17491.jpg,"(0.35, 0.85)"
17975.jpg,"(0.45, 0.60)"
18542.jpg,"(0.65, 0.70)"
20263.jpg,"(0.45, 0.55)"
22990.jpg,"(0.52, 0.63)"
23179.jpg,"(0.50, 0.60)"
23646.jpg,"(0.25, 0.30)"
23990.jpg,"(0.65, 0.60)"
24230.jpg,"(0.65, 0.75)"
24506.jpg,"(0.45, 0.65)"
25621.jpg,"(0.58, 0.72)"
25698.jpg,"(0.58, 0.67)"
26171.jpg,"(0.58, 0.67)"
26474.jpg,"(0.58, 0.64)"
26564.jpg,"(0.52, 0.78)"
26672.jpg,"(0.52, 0.68)"
26862.jpg,"(0.35, 0.85)"
27408.jpg,"(0.35, 0.75)"
27737.jpg,"(0.35, 0.65)"
29567.jpg,"(0.45, 0.70)"
30019.jpg,"(0.50, 0.60)"
30328.jpg,"(0.45, 0.85)"
