frame,gaze
281.jpg,"(0.65, 0.72)"
663.jpg,"(0.65, 0.75)"
833.jpg,"(0.35, 0.65)"
1088.jpg,"(0.45, 0.75)"
1393.jpg,"(0.52, 0.71)"
2007.jpg,"(0.35, 0.70)"
2213.jpg,"(0.52, 0.76)"
2343.jpg,"(0.54, 0.78)"
3428.jpg,"(0.52, 0.76)"
3709.jpg,"(0.52, 0.71)"
4414.jpg,"(0.35, 0.65)"
4596.jpg,"(0.50, 0.50)"
4783.jpg,"(0.52, 0.68)"
4863.jpg,"(0.50, 0.70)"
5126.jpg,"(0.35, 0.65)"
5367.jpg,"(0.54, 0.72)"
5675.jpg,"(0.56, 0.71)"
5828.jpg,"(0.54, 0.72)"
6134.jpg,"(0.52, 0.86)"
6901.jpg,"(0.45, 0.85)"
7045.jpg,"(0.50, 0.60)"
7639.jpg,"(0.45, 0.65)"
7926.jpg,"(0.50, 0.50)"
8442.jpg,"(0.45, 0.75)"
8757.jpg,"(0.52, 0.74)"
9040.jpg,"(0.45, 0.65)"
9308.jpg,"(0.75, 0.78)"
9538.jpg,"(0.35, 0.65)"
11097.jpg,"(0.50, 0.70)"
12544.jpg,"(0.52, 0.68)"
14896.jpg,"(0.52, 0.74)"
15469.jpg,"(0.35, 0.75)"
15544.jpg,"(0.50, 0.60)"
