frame,gaze
1990.jpg,"(0.52, 0.64)"
2083.jpg,"(0.55, 0.65)"
2153.jpg,"(0.35, 0.65)"
2507.jpg,"(0.52, 0.74)"
2558.jpg,"(0.75, 0.70)"
2930.jpg,"(0.45, 0.65)"
3135.jpg,"(0.50, 0.60)"
3326.jpg,"(0.65, 0.85)"
3567.jpg,"(0.52, 0.74)"
3703.jpg,"(0.62, 0.65)"
3806.jpg,"(0.65, 0.65)"
3982.jpg,"(0.65, 0.70)"
4151.jpg,"(0.35, 0.45)"
4252.jpg,"(0.48, 0.52)"
4583.jpg,"(0.58, 0.64)"
4746.jpg,"(0.35, 0.60)"
5019.jpg,"(0.45, 0.75)"
5274.jpg,"(0.65, 0.55)"
5576.jpg,"(0.58, 0.71)"
5640.jpg,"(0.52, 0.74)"
5761.jpg,"(0.52, 0.76)"
6487.jpg,"(0.52, 0.68)"
6619.jpg,"(0.45, 0.65)"
7218.jpg,"(0.65, 0.60)"
7289.jpg,"(0.50, 0.60)"
7510.jpg,"(0.65, 0.60)"
7614.jpg,"(0.35, 0.48)"
7853.jpg,"(0.47, 0.56)"
8202.jpg,"(0.65, 0.75)"
8302.jpg,"(0.45, 0.75)"
8822.jpg,"(0.58, 0.67)"
9073.jpg,"(0.45, 0.68)"
9419.jpg,"(0.60, 0.70)"
9595.jpg,"(0.62, 0.70)"
9631.jpg,"(0.65, 0.82)"
9686.jpg,"(0.58, 0.76)"
10050.jpg,"(0.75, 0.85)"
10123.jpg,"(0.58, 0.67)"
10332.jpg,"(0.65, 0.80)"
10490.jpg,"(0.58, 0.67)"
10517.jpg,"(0.35, 0.75)"
10637.jpg,"(0.55, 0.75)"
10720.jpg,"(0.25, 0.65)"
10759.jpg,"(0.54, 0.79)"
10844.jpg,"(0.45, 0.65)"
11020.jpg,"(0.45, 0.70)"
11401.jpg,"(0.35, 0.65)"
11789.jpg,"(0.55, 0.65)"
11871.jpg,"(0.65, 0.72)"
12126.jpg,"(0.54, 0.76)"
12841.jpg,"(0.52, 0.74)"
12970.jpg,"(0.45, 0.65)"
13943.jpg,"(0.45, 0.60)"
13991.jpg,"(0.50, 0.60)"
14157.jpg,"(0.35, 0.65)"
14389.jpg,"(0.45, 0.58)"
14505.jpg,"(0.58, 0.62)"
15046.jpg,"(0.50, 0.70)"
15304.jpg,"(0.50, 0.45)"
