frame,gaze
687.jpg,"(0.50, 0.60)"
995.jpg,"(0.50, 0.60)"
1233.jpg,"(0.50, 0.60)"
1687.jpg,"(0.65, 0.85)"
1743.jpg,"(0.56, 0.74)"
2677.jpg,"(0.35, 0.65)"
4958.jpg,"(0.48, 0.92)"
5356.jpg,"(0.45, 0.75)"
5963.jpg,"(0.35, 0.85)"
6332.jpg,"(0.58, 0.82)"
6761.jpg,"(0.35, 0.75)"
8506.jpg,"(0.52, 0.76)"
8642.jpg,"(0.45, 0.75)"
8929.jpg,"(0.56, 0.63)"
9522.jpg,"(0.58, 0.72)"
9857.jpg,"(0.55, 0.78)"
10519.jpg,"(0.65, 0.82)"
10738.jpg,"(0.54, 0.63)"
11168.jpg,"(0.52, 0.84)"
11264.jpg,"(0.45, 0.65)"
11529.jpg,"(0.52, 0.76)"
12194.jpg,"(0.52, 0.74)"
