frame,gaze
587.jpg,"(0.52, 0.65)"
1199.jpg,"(0.75, 0.75)"
1732.jpg,"(0.50, 0.60)"
2122.jpg,"(0.52, 0.65)"
2412.jpg,"(0.65, 0.70)"
3428.jpg,"(0.65, 0.45)"
3697.jpg,"(0.65, 0.48)"
4661.jpg,"(0.35, 0.45)"
4850.jpg,"(0.35, 0.65)"
5176.jpg,"(0.50, 0.70)"
5236.jpg,"(0.65, 0.75)"
5323.jpg,"(0.50, 0.65)"
5828.jpg,"(0.50, 0.60)"
5866.jpg,"(0.50, 0.60)"
5943.jpg,"(0.45, 0.65)"
6371.jpg,"(0.50, 0.60)"
6396.jpg,"(0.45, 0.60)"
7001.jpg,"(0.45, 0.65)"
7102.jpg,"(0.45, 0.60)"
7285.jpg,"(0.50, 0.60)"
7560.jpg,"(0.50, 0.75)"
