frame,gaze
149.jpg,"(0.50, 0.65)"
268.jpg,"(0.50, 0.65)"
392.jpg,"(0.45, 0.65)"
692.jpg,"(0.52, 0.68)"
1052.jpg,"(0.85, 0.60)"
1386.jpg,"(0.65, 0.52)"
1493.jpg,"(0.50, 0.65)"
3317.jpg,"(0.55, 0.65)"
3436.jpg,"(0.52, 0.68)"
3980.jpg,"(0.55, 0.65)"
4503.jpg,"(0.45, 0.75)"
4523.jpg,"(0.58, 0.76)"
4637.jpg,"(0.52, 0.50)"
4773.jpg,"(0.35, 0.70)"
4793.jpg,"(0.65, 0.70)"
4834.jpg,"(0.45, 0.70)"
4896.jpg,"(0.45, 0.75)"
5164.jpg,"(0.58, 0.46)"
5205.jpg,"(0.85, 0.72)"
5666.jpg,"(0.45, 0.60)"
6128.jpg,"(0.58, 0.60)"
