frame,gaze
480.jpg,"(0.25, 0.65)"
600.jpg,"(0.50, 0.50)"
662.jpg,"(0.58, 0.67)"
906.jpg,"(0.35, 0.65)"
1017.jpg,"(0.45, 0.65)"
1078.jpg,"(0.35, 0.45)"
1409.jpg,"(0.58, 0.62)"
4645.jpg,"(0.50, 0.50)"
5699.jpg,"(0.45, 0.65)"
10521.jpg,"(0.52, 0.81)"
10915.jpg,"(0.45, 0.65)"
11517.jpg,"(0.52, 0.74)"
11554.jpg,"(0.45, 0.68)"
11703.jpg,"(0.52, 0.64)"
12441.jpg,"(0.52, 0.71)"
12470.jpg,"(0.56, 0.72)"
12704.jpg,"(0.58, 0.79)"
12776.jpg,"(0.65, 0.70)"
12905.jpg,"(0.65, 0.65)"
13145.jpg,"(0.48, 0.71)"
13380.jpg,"(0.65, 0.65)"
13501.jpg,"(0.65, 0.48)"
14068.jpg,"(0.65, 0.60)"
14106.jpg,"(0.65, 0.65)"
14962.jpg,"(0.58, 0.72)"
15034.jpg,"(0.52, 0.71)"
15888.jpg,"(0.45, 0.45)"
16017.jpg,"(0.65, 0.62)"
16757.jpg,"(0.45, 0.85)"
17131.jpg,"(0.58, 0.64)"
17392.jpg,"(0.54, 0.67)"
17442.jpg,"(0.65, 0.63)"
17504.jpg,"(0.65, 0.75)"
17792.jpg,"(0.35, 0.45)"
17990.jpg,"(0.58, 0.72)"
18338.jpg,"(0.58, 0.59)"
18615.jpg,"(0.45, 0.60)"
18624.jpg,"(0.50, 0.60)"
18736.jpg,"(0.45, 0.75)"
19070.jpg,"(0.58, 0.62)"
19296.jpg,"(0.50, 0.60)"
19437.jpg,"(0.35, 0.65)"
19904.jpg,"(0.35, 0.60)"
19974.jpg,"(0.45, 0.65)"
20140.jpg,"(0.65, 0.70)"
20283.jpg,"(0.58, 0.62)"
20595.jpg,"(0.52, 0.61)"
21865.jpg,"(0.50, 0.60)"
22980.jpg,"(0.58, 0.64)"
23073.jpg,"(0.75, 0.65)"
23580.jpg,"(0.50, 0.60)"
23864.jpg,"(0.58, 0.64)"
24013.jpg,"(0.58, 0.64)"
24567.jpg,"(0.58, 0.64)"
24650.jpg,"(0.58, 0.76)"
24685.jpg,"(0.58, 0.69)"
24815.jpg,"(0.45, 0.65)"
25656.jpg,"(0.65, 0.65)"
25875.jpg,"(0.45, 0.65)"
26044.jpg,"(0.75, 0.65)"
26461.jpg,"(0.45, 0.65)"
26808.jpg,"(0.58, 0.72)"
26852.jpg,"(0.52, 0.64)"
27463.jpg,"(0.35, 0.60)"
27612.jpg,"(0.50, 0.45)"
28031.jpg,"(0.50, 0.60)"
29377.jpg,"(0.65, 0.75)"
29904.jpg,"(0.65, 0.80)"
30341.jpg,"(0.65, 0.75)"
30902.jpg,"(0.45, 0.70)"
31007.jpg,"(0.25, 0.75)"
33537.jpg,"(0.52, 0.74)"
33629.jpg,"(0.35, 0.65)"
34661.jpg,"(0.50, 0.50)"
34766.jpg,"(0.35, 0.45)"
34952.jpg,"(0.45, 0.75)"
35119.jpg,"(0.50, 0.70)"
35174.jpg,"(0.58, 0.67)"
