frame,gaze
650.jpg,"(0.50, 0.60)"
1327.jpg,"(0.50, 0.60)"
1428.jpg,"(0.50, 0.60)"
1618.jpg,"(0.50, 0.60)"
2243.jpg,"(0.52, 0.61)"
2410.jpg,"(0.50, 0.65)"
2722.jpg,"(0.50, 0.60)"
2959.jpg,"(0.52, 0.68)"
2999.jpg,"(0.50, 0.60)"
3201.jpg,"(0.50, 0.60)"
3216.jpg,"(0.50, 0.70)"
3487.jpg,"(0.52, 0.68)"
3567.jpg,"(0.52, 0.63)"
3869.jpg,"(0.52, 0.64)"
4460.jpg,"(0.54, 0.62)"
4580.jpg,"(0.50, 0.60)"
4800.jpg,"(0.52, 0.60)"
5466.jpg,"(0.50, 0.60)"
5821.jpg,"(0.52, 0.63)"
6017.jpg,"(0.52, 0.64)"
6149.jpg,"(0.50, 0.65)"
6430.jpg,"(0.52, 0.68)"
7217.jpg,"(0.15, 0.65)"
