frame,gaze
701.jpg,"(0.45, 0.65)"
755.jpg,"(0.45, 0.75)"
1012.jpg,"(0.52, 0.68)"
1187.jpg,"(0.50, 0.75)"
1284.jpg,"(0.55, 0.75)"
1499.jpg,"(0.65, 0.78)"
2026.jpg,"(0.45, 0.65)"
2440.jpg,"(0.35, 0.45)"
2637.jpg,"(0.45, 0.75)"
2732.jpg,"(0.48, 0.75)"
2839.jpg,"(0.45, 0.78)"
4157.jpg,"(0.25, 0.65)"
4300.jpg,"(0.45, 0.75)"
4436.jpg,"(0.45, 0.65)"
4798.jpg,"(0.54, 0.72)"
4934.jpg,"(0.65, 0.70)"
6860.jpg,"(0.65, 0.45)"
7058.jpg,"(0.35, 0.45)"
7703.jpg,"(0.65, 0.65)"
8790.jpg,"(0.52, 0.74)"
9357.jpg,"(0.45, 0.75)"
9379.jpg,"(0.35, 0.70)"
9584.jpg,"(0.35, 0.75)"
9700.jpg,"(0.35, 0.45)"
10421.jpg,"(0.45, 0.45)"
10854.jpg,"(0.45, 0.70)"
12518.jpg,"(0.45, 0.63)"
13070.jpg,"(0.45, 0.68)"
13983.jpg,"(0.52, 0.64)"
14409.jpg,"(0.45, 0.65)"
15101.jpg,"(0.45, 0.75)"
16458.jpg,"(0.52, 0.64)"
16620.jpg,"(0.45, 0.63)"
17177.jpg,"(0.52, 0.64)"
17346.jpg,"(0.65, 0.55)"
17775.jpg,"(0.45, 0.65)"
18169.jpg,"(0.45, 0.60)"
18389.jpg,"(0.45, 0.65)"
18676.jpg,"(0.52, 0.64)"
18864.jpg,"(0.45, 0.65)"
19028.jpg,"(0.50, 0.70)"
19366.jpg,"(0.35, 0.65)"
19541.jpg,"(0.45, 0.75)"
19766.jpg,"(0.58, 0.62)"
20046.jpg,"(0.45, 0.65)"
20212.jpg,"(0.35, 0.45)"
20744.jpg,"(0.55, 0.65)"
20961.jpg,"(0.50, 0.60)"
