frame,gaze
950.jpg,"(0.50, 0.60)"
1020.jpg,"(0.50, 0.50)"
1601.jpg,"(0.52, 0.68)"
1692.jpg,"(0.45, 0.65)"
2126.jpg,"(0.45, 0.65)"
2542.jpg,"(0.50, 0.60)"
2875.jpg,"(0.58, 0.62)"
2940.jpg,"(0.50, 0.50)"
3475.jpg,"(0.50, 0.65)"
3567.jpg,"(0.45, 0.65)"
3653.jpg,"(0.55, 0.65)"
5064.jpg,"(0.52, 0.76)"
5552.jpg,"(0.45, 0.75)"
5701.jpg,"(0.52, 0.60)"
6194.jpg,"(0.52, 0.68)"
6744.jpg,"(0.52, 0.64)"
7339.jpg,"(0.50, 0.60)"
8175.jpg,"(0.35, 0.45)"
8746.jpg,"(0.25, 0.45)"
9702.jpg,"(0.45, 0.55)"
9735.jpg,"(0.52, 0.74)"
10490.jpg,"(0.45, 0.70)"
10814.jpg,"(0.65, 0.72)"
11048.jpg,"(0.35, 0.65)"
11211.jpg,"(0.50, 0.60)"
11588.jpg,"(0.35, 0.65)"
11708.jpg,"(0.35, 0.65)"
11815.jpg,"(0.45, 0.55)"
11846.jpg,"(0.50, 0.60)"
12697.jpg,"(0.52, 0.68)"
12813.jpg,"(0.52, 0.65)"
13443.jpg,"(0.68, 0.79)"
13532.jpg,"(0.60, 0.55)"
13796.jpg,"(0.42, 0.61)"
13906.jpg,"(0.50, 0.50)"
14021.jpg,"(0.55, 0.45)"
14754.jpg,"(0.45, 0.65)"
14952.jpg,"(0.65, 0.70)"
15061.jpg,"(0.45, 0.35)"
15420.jpg,"(0.48, 0.67)"
15579.jpg,"(0.52, 0.74)"
15655.jpg,"(0.45, 0.65)"
15830.jpg,"(0.35, 0.65)"
15918.jpg,"(0.52, 0.74)"
16026.jpg,"(0.35, 0.65)"
16690.jpg,"(0.45, 0.65)"
16735.jpg,"(0.45, 0.60)"
17413.jpg,"(0.45, 0.75)"
17437.jpg,"(0.45, 0.60)"
17880.jpg,"(0.52, 0.74)"
18000.jpg,"(0.50, 0.70)"
18363.jpg,"(0.45, 0.50)"
18485.jpg,"(0.52, 0.60)"
18507.jpg,"(0.52, 0.60)"
18532.jpg,"(0.58, 0.62)"
18630.jpg,"(0.50, 0.75)"
18776.jpg,"(0.58, 0.69)"
18815.jpg,"(0.58, 0.74)"
19002.jpg,"(0.52, 0.65)"
19100.jpg,"(0.50, 0.60)"
19259.jpg,"(0.55, 0.75)"
19482.jpg,"(0.52, 0.64)"
19526.jpg,"(0.52, 0.63)"
20554.jpg,"(0.50, 0.60)"
20886.jpg,"(0.45, 0.75)"
21277.jpg,"(0.58, 0.72)"
21685.jpg,"(0.50, 0.60)"
21914.jpg,"(0.35, 0.75)"
22251.jpg,"(0.52, 0.46)"
22300.jpg,"(0.52, 0.64)"
22393.jpg,"(0.52, 0.65)"
23036.jpg,"(0.52, 0.65)"
23079.jpg,"(0.52, 0.68)"
23225.jpg,"(0.45, 0.65)"
23373.jpg,"(0.45, 0.60)"
23521.jpg,"(0.35, 0.65)"
23779.jpg,"(0.45, 0.65)"
24888.jpg,"(0.35, 0.45)"
25251.jpg,"(0.45, 0.68)"
25529.jpg,"(0.52, 0.63)"
25668.jpg,"(0.25, 0.65)"
25897.jpg,"(0.65, 0.48)"
26031.jpg,"(0.48, 0.56)"
26686.jpg,"(0.58, 0.60)"
26751.jpg,"(0.45, 0.60)"
28102.jpg,"(0.50, 0.60)"
28203.jpg,"(0.45, 0.60)"
28803.jpg,"(0.65, 0.65)"
29034.jpg,"(0.45, 0.35)"
29200.jpg,"(0.35, 0.75)"
29291.jpg,"(0.58, 0.63)"
29378.jpg,"(0.45, 0.60)"
29853.jpg,"(0.45, 0.55)"
29902.jpg,"(0.35, 0.65)"
30683.jpg,"(0.45, 0.60)"
32192.jpg,"(0.55, 0.65)"
