frame,gaze
526.jpg,"(0.75, 0.80)"
724.jpg,"(0.25, 0.75)"
943.jpg,"(0.50, 0.50)"
1399.jpg,"(0.35, 0.45)"
1883.jpg,"(0.50, 0.45)"
1967.jpg,"(0.50, 0.60)"
2451.jpg,"(0.50, 0.50)"
2580.jpg,"(0.50, 0.45)"
2690.jpg,"(0.58, 0.74)"
3162.jpg,"(0.50, 0.50)"
4200.jpg,"(0.65, 0.70)"
4508.jpg,"(0.50, 0.45)"
5088.jpg,"(0.65, 0.70)"
5297.jpg,"(0.60, 0.75)"
7343.jpg,"(0.55, 0.80)"
7611.jpg,"(0.52, 0.68)"
7829.jpg,"(0.65, 0.70)"
8062.jpg,"(0.45, 0.68)"
8237.jpg,"(0.52, 0.68)"
8840.jpg,"(0.35, 0.70)"
9144.jpg,"(0.50, 0.60)"
9903.jpg,"(0.25, 0.35)"
10713.jpg,"(0.35, 0.75)"
10784.jpg,"(0.52, 0.81)"
10977.jpg,"(0.65, 0.80)"
11395.jpg,"(0.65, 0.75)"
11845.jpg,"(0.50, 0.45)"
11935.jpg,"(0.35, 0.55)"
12065.jpg,"(0.52, 0.68)"
12378.jpg,"(0.35, 0.68)"
12752.jpg,"(0.58, 0.72)"
14473.jpg,"(0.50, 0.45)"
14832.jpg,"(0.54, 0.63)"
15000.jpg,"(0.15, 0.80)"
15051.jpg,"(0.60, 0.65)"
15300.jpg,"(0.50, 0.50)"
16233.jpg,"(0.45, 0.60)"
