frame,gaze
339.jpg,"(0.50, 0.70)"
637.jpg,"(0.52, 0.68)"
865.jpg,"(0.56, 0.58)"
1101.jpg,"(0.35, 0.60)"
1323.jpg,"(0.45, 0.70)"
1458.jpg,"(0.45, 0.65)"
1786.jpg,"(0.45, 0.65)"
2257.jpg,"(0.52, 0.68)"
4462.jpg,"(0.52, 0.68)"
7899.jpg,"(0.55, 0.65)"
8151.jpg,"(0.65, 0.70)"
8962.jpg,"(0.45, 0.55)"
9220.jpg,"(0.58, 0.72)"
9508.jpg,"(0.45, 0.65)"
9609.jpg,"(0.52, 0.68)"
9913.jpg,"(0.35, 0.65)"
10132.jpg,"(0.65, 0.70)"
10783.jpg,"(0.52, 0.60)"
10938.jpg,"(0.55, 0.68)"
12385.jpg,"(0.45, 0.55)"
12497.jpg,"(0.45, 0.60)"
13162.jpg,"(0.50, 0.60)"
13457.jpg,"(0.45, 0.65)"
13753.jpg,"(0.52, 0.68)"
13794.jpg,"(0.65, 0.65)"
15023.jpg,"(0.75, 0.65)"
15623.jpg,"(0.58, 0.67)"
16173.jpg,"(0.52, 0.74)"
16208.jpg,"(0.54, 0.62)"
16700.jpg,"(0.45, 0.65)"
17263.jpg,"(0.48, 0.65)"
17737.jpg,"(0.65, 0.70)"
17895.jpg,"(0.52, 0.68)"
18004.jpg,"(0.45, 0.65)"
18425.jpg,"(0.52, 0.68)"
18848.jpg,"(0.48, 0.65)"
19642.jpg,"(0.58, 0.64)"
19957.jpg,"(0.35, 0.70)"
20667.jpg,"(0.52, 0.68)"
21037.jpg,"(0.38, 0.65)"
21915.jpg,"(0.35, 0.65)"
22259.jpg,"(0.65, 0.65)"
22626.jpg,"(0.45, 0.65)"
22910.jpg,"(0.52, 0.61)"
22965.jpg,"(0.56, 0.72)"
23142.jpg,"(0.45, 0.60)"
23178.jpg,"(0.48, 0.72)"
23913.jpg,"(0.48, 0.62)"
24887.jpg,"(0.45, 0.70)"
26151.jpg,"(0.45, 0.65)"
28183.jpg,"(0.40, 0.50)"
28359.jpg,"(0.45, 0.65)"
28433.jpg,"(0.52, 0.68)"
29462.jpg,"(0.45, 0.58)"
30004.jpg,"(0.48, 0.62)"
30386.jpg,"(0.45, 0.68)"
30803.jpg,"(0.58, 0.72)"
32266.jpg,"(0.65, 0.80)"
32450.jpg,"(0.25, 0.60)"
33398.jpg,"(0.35, 0.60)"
33633.jpg,"(0.62, 0.64)"
33962.jpg,"(0.35, 0.65)"
34218.jpg,"(0.48, 0.65)"
34286.jpg,"(0.65, 0.68)"
34389.jpg,"(0.58, 0.64)"
34493.jpg,"(0.65, 0.65)"
34775.jpg,"(0.35, 0.65)"
35019.jpg,"(0.35, 0.65)"
35981.jpg,"(0.25, 0.75)"
36615.jpg,"(0.45, 0.65)"
37225.jpg,"(0.35, 0.75)"
37837.jpg,"(0.42, 0.65)"
38287.jpg,"(0.65, 0.72)"
38540.jpg,"(0.52, 0.74)"
38816.jpg,"(0.45, 0.65)"
39288.jpg,"(0.45, 0.65)"
39340.jpg,"(0.35, 0.65)"
39503.jpg,"(0.58, 0.76)"
40351.jpg,"(0.25, 0.65)"
41008.jpg,"(0.48, 0.65)"
41113.jpg,"(0.42, 0.68)"
41293.jpg,"(0.45, 0.75)"
42035.jpg,"(0.65, 0.80)"
42448.jpg,"(0.45, 0.75)"
42521.jpg,"(0.58, 0.76)"
42799.jpg,"(0.65, 0.75)"
43345.jpg,"(0.58, 0.64)"
43713.jpg,"(0.52, 0.64)"
44984.jpg,"(0.35, 0.70)"
45662.jpg,"(0.58, 0.64)"
