frame,gaze
608.jpg,"(0.50, 0.60)"
841.jpg,"(0.35, 0.45)"
1088.jpg,"(0.50, 0.60)"
1439.jpg,"(0.65, 0.75)"
1500.jpg,"(0.65, 0.80)"
1693.jpg,"(0.52, 0.78)"
2815.jpg,"(0.52, 0.76)"
3070.jpg,"(0.45, 0.75)"
3802.jpg,"(0.60, 0.80)"
4379.jpg,"(0.50, 0.75)"
4869.jpg,"(0.58, 0.83)"
5231.jpg,"(0.52, 0.76)"
5276.jpg,"(0.50, 0.80)"
5503.jpg,"(0.65, 0.70)"
5694.jpg,"(0.58, 0.76)"
5711.jpg,"(0.58, 0.72)"
5826.jpg,"(0.52, 0.76)"
5849.jpg,"(0.52, 0.74)"
5966.jpg,"(0.50, 0.70)"
5983.jpg,"(0.50, 0.70)"
6103.jpg,"(0.58, 0.76)"
6123.jpg,"(0.58, 0.74)"
6228.jpg,"(0.58, 0.79)"
6305.jpg,"(0.54, 0.72)"
6323.jpg,"(0.52, 0.74)"
6404.jpg,"(0.52, 0.76)"
6420.jpg,"(0.52, 0.76)"
6511.jpg,"(0.58, 0.76)"
6533.jpg,"(0.52, 0.74)"
6606.jpg,"(0.58, 0.79)"
6621.jpg,"(0.45, 0.75)"
6684.jpg,"(0.52, 0.80)"
6700.jpg,"(0.52, 0.74)"
6775.jpg,"(0.52, 0.76)"
6790.jpg,"(0.45, 0.75)"
6868.jpg,"(0.52, 0.76)"
6886.jpg,"(0.45, 0.75)"
6962.jpg,"(0.58, 0.76)"
6995.jpg,"(0.48, 0.76)"
7088.jpg,"(0.58, 0.79)"
7256.jpg,"(0.58, 0.79)"
7273.jpg,"(0.58, 0.72)"
7344.jpg,"(0.58, 0.72)"
7359.jpg,"(0.54, 0.68)"
7461.jpg,"(0.58, 0.76)"
7478.jpg,"(0.45, 0.75)"
7564.jpg,"(0.50, 0.70)"
7585.jpg,"(0.52, 0.70)"
7675.jpg,"(0.52, 0.74)"
7694.jpg,"(0.56, 0.72)"
7770.jpg,"(0.50, 0.65)"
7788.jpg,"(0.50, 0.65)"
7891.jpg,"(0.52, 0.70)"
8062.jpg,"(0.58, 0.64)"
8153.jpg,"(0.52, 0.76)"
8242.jpg,"(0.35, 0.65)"
8416.jpg,"(0.55, 0.78)"
9456.jpg,"(0.50, 0.65)"
9529.jpg,"(0.58, 0.72)"
9676.jpg,"(0.50, 0.65)"
9934.jpg,"(0.55, 0.70)"
10127.jpg,"(0.52, 0.68)"
10314.jpg,"(0.48, 0.72)"
10569.jpg,"(0.58, 0.69)"
10811.jpg,"(0.58, 0.72)"
10920.jpg,"(0.45, 0.65)"
10957.jpg,"(0.65, 0.70)"
11151.jpg,"(0.52, 0.84)"
11216.jpg,"(0.58, 0.72)"
11404.jpg,"(0.58, 0.74)"
11420.jpg,"(0.52, 0.74)"
11612.jpg,"(0.58, 0.52)"
11870.jpg,"(0.65, 0.75)"
12413.jpg,"(0.52, 0.78)"
12555.jpg,"(0.50, 0.60)"
12751.jpg,"(0.45, 0.75)"
