frame,gaze
664.jpg,"(0.58, 0.65)"
2640.jpg,"(0.55, 0.48)"
3238.jpg,"(0.45, 0.60)"
3288.jpg,"(0.65, 0.45)"
3703.jpg,"(0.50, 0.60)"
3838.jpg,"(0.45, 0.65)"
4396.jpg,"(0.45, 0.55)"
4450.jpg,"(0.35, 0.65)"
5143.jpg,"(0.50, 0.60)"
5345.jpg,"(0.45, 0.65)"
5465.jpg,"(0.35, 0.45)"
5514.jpg,"(0.45, 0.60)"
6276.jpg,"(0.45, 0.65)"
6379.jpg,"(0.58, 0.62)"
7210.jpg,"(0.35, 0.48)"
7287.jpg,"(0.45, 0.65)"
7455.jpg,"(0.35, 0.65)"
7664.jpg,"(0.45, 0.60)"
7996.jpg,"(0.35, 0.45)"
8437.jpg,"(0.45, 0.65)"
