frame,gaze
291.jpg,"(0.75, 0.60)"
747.jpg,"(0.45, 0.65)"
876.jpg,"(0.52, 0.60)"
1345.jpg,"(0.35, 0.45)"
2027.jpg,"(0.50, 0.60)"
2103.jpg,"(0.50, 0.60)"
4069.jpg,"(0.45, 0.65)"
5575.jpg,"(0.50, 0.50)"
7009.jpg,"(0.35, 0.45)"
7231.jpg,"(0.50, 0.60)"
7636.jpg,"(0.35, 0.65)"
8283.jpg,"(0.50, 0.60)"
11448.jpg,"(0.35, 0.60)"
11746.jpg,"(0.35, 0.45)"
14589.jpg,"(0.45, 0.65)"
14825.jpg,"(0.62, 0.75)"
15197.jpg,"(0.50, 0.60)"
15777.jpg,"(0.45, 0.60)"
18191.jpg,"(0.65, 0.60)"
18642.jpg,"(0.50, 0.60)"
18805.jpg,"(0.50, 0.50)"
19852.jpg,"(0.50, 0.45)"
