frame,gaze
1162.jpg,"(0.45, 0.60)"
1579.jpg,"(0.52, 0.53)"
1820.jpg,"(0.50, 0.60)"
1966.jpg,"(0.50, 0.60)"
2233.jpg,"(0.52, 0.60)"
2545.jpg,"(0.58, 0.64)"
2964.jpg,"(0.62, 0.74)"
3139.jpg,"(0.50, 0.70)"
3334.jpg,"(0.48, 0.35)"
3363.jpg,"(0.50, 0.60)"
3595.jpg,"(0.52, 0.68)"
3770.jpg,"(0.58, 0.62)"
3828.jpg,"(0.50, 0.45)"
4081.jpg,"(0.50, 0.65)"
4780.jpg,"(0.65, 0.45)"
4872.jpg,"(0.50, 0.65)"
4965.jpg,"(0.65, 0.55)"
5363.jpg,"(0.58, 0.60)"
5925.jpg,"(0.45, 0.65)"
6012.jpg,"(0.50, 0.75)"
