frame,gaze
262.jpg,"(0.45, 0.65)"
375.jpg,"(0.45, 0.55)"
615.jpg,"(0.35, 0.45)"
740.jpg,"(0.45, 0.50)"
773.jpg,"(0.35, 0.45)"
861.jpg,"(0.54, 0.60)"
927.jpg,"(0.35, 0.55)"
1899.jpg,"(0.52, 0.61)"
2032.jpg,"(0.45, 0.60)"
2160.jpg,"(0.35, 0.55)"
2294.jpg,"(0.50, 0.50)"
2393.jpg,"(0.52, 0.60)"
2572.jpg,"(0.45, 0.60)"
2941.jpg,"(0.52, 0.60)"
3045.jpg,"(0.52, 0.64)"
3229.jpg,"(0.52, 0.48)"
3448.jpg,"(0.52, 0.65)"
4358.jpg,"(0.52, 0.60)"
4790.jpg,"(0.45, 0.65)"
4871.jpg,"(0.45, 0.60)"
4952.jpg,"(0.35, 0.55)"
5253.jpg,"(0.54, 0.62)"
5580.jpg,"(0.35, 0.65)"
5898.jpg,"(0.50, 0.60)"
5954.jpg,"(0.35, 0.60)"
6393.jpg,"(0.55, 0.65)"
6563.jpg,"(0.45, 0.55)"
6697.jpg,"(0.45, 0.55)"
6792.jpg,"(0.55, 0.45)"
6873.jpg,"(0.50, 0.45)"
6958.jpg,"(0.45, 0.48)"
7205.jpg,"(0.50, 0.60)"
7524.jpg,"(0.65, 0.65)"
7639.jpg,"(0.45, 0.65)"
7737.jpg,"(0.45, 0.68)"
7828.jpg,"(0.52, 0.63)"
7868.jpg,"(0.45, 0.65)"
8172.jpg,"(0.50, 0.50)"
8357.jpg,"(0.50, 0.45)"
8526.jpg,"(0.52, 0.64)"
8571.jpg,"(0.25, 0.65)"
8718.jpg,"(0.40, 0.45)"
8774.jpg,"(0.45, 0.65)"
9406.jpg,"(0.65, 0.70)"
9481.jpg,"(0.52, 0.67)"
9657.jpg,"(0.35, 0.48)"
9712.jpg,"(0.52, 0.63)"
10027.jpg,"(0.50, 0.60)"
10493.jpg,"(0.45, 0.70)"
