frame,gaze
1141.jpg,"(0.55, 0.60)"
1238.jpg,"(0.50, 0.65)"
1356.jpg,"(0.25, 0.30)"
2276.jpg,"(0.52, 0.60)"
2447.jpg,"(0.45, 0.75)"
2745.jpg,"(0.58, 0.67)"
2918.jpg,"(0.45, 0.65)"
3083.jpg,"(0.52, 0.78)"
3315.jpg,"(0.60, 0.90)"
3699.jpg,"(0.45, 0.75)"
4213.jpg,"(0.50, 0.75)"
4338.jpg,"(0.50, 0.45)"
8122.jpg,"(0.54, 0.82)"
8406.jpg,"(0.65, 0.65)"
9336.jpg,"(0.35, 0.85)"
9417.jpg,"(0.45, 0.75)"
9621.jpg,"(0.45, 0.75)"
9823.jpg,"(0.48, 0.65)"
10023.jpg,"(0.48, 0.65)"
10161.jpg,"(0.52, 0.65)"
11251.jpg,"(0.45, 0.65)"
11437.jpg,"(0.50, 0.65)"
12886.jpg,"(0.52, 0.68)"
13067.jpg,"(0.45, 0.65)"
13377.jpg,"(0.45, 0.65)"
13525.jpg,"(0.45, 0.65)"
13901.jpg,"(0.50, 0.65)"
14012.jpg,"(0.48, 0.75)"
14672.jpg,"(0.48, 0.65)"
14890.jpg,"(0.52, 0.74)"
15666.jpg,"(0.45, 0.65)"
15806.jpg,"(0.65, 0.75)"
16917.jpg,"(0.45, 0.65)"
17079.jpg,"(0.45, 0.75)"
17257.jpg,"(0.55, 0.80)"
17534.jpg,"(0.45, 0.65)"
18029.jpg,"(0.58, 0.67)"
19542.jpg,"(0.35, 0.65)"
20164.jpg,"(0.52, 0.78)"
