frame,gaze
417.jpg,"(0.53, 0.46)"
567.jpg,"(0.25, 0.75)"
615.jpg,"(0.52, 0.58)"
710.jpg,"(0.58, 0.52)"
1437.jpg,"(0.35, 0.75)"
1568.jpg,"(0.55, 0.68)"
1756.jpg,"(0.35, 0.65)"
1911.jpg,"(0.52, 0.60)"
2006.jpg,"(0.35, 0.60)"
2093.jpg,"(0.45, 0.60)"
2403.jpg,"(0.48, 0.71)"
4001.jpg,"(0.65, 0.60)"
4729.jpg,"(0.45, 0.60)"
5062.jpg,"(0.35, 0.65)"
5203.jpg,"(0.35, 0.65)"
5335.jpg,"(0.50, 0.60)"
5760.jpg,"(0.45, 0.75)"
6274.jpg,"(0.25, 0.80)"
6480.jpg,"(0.50, 0.45)"
6746.jpg,"(0.52, 0.60)"
7167.jpg,"(0.25, 0.70)"
7843.jpg,"(0.45, 0.60)"
8016.jpg,"(0.50, 0.45)"
8116.jpg,"(0.35, 0.48)"
8574.jpg,"(0.45, 0.90)"
8636.jpg,"(0.45, 0.50)"
8742.jpg,"(0.52, 0.61)"
9030.jpg,"(0.35, 0.45)"
9101.jpg,"(0.50, 0.50)"
9185.jpg,"(0.25, 0.75)"
9351.jpg,"(0.35, 0.65)"
9571.jpg,"(0.65, 0.48)"
9726.jpg,"(0.45, 0.65)"
11382.jpg,"(0.50, 0.45)"
11477.jpg,"(0.52, 0.76)"
11768.jpg,"(0.80, 0.65)"
12460.jpg,"(0.52, 0.60)"
12620.jpg,"(0.35, 0.65)"
12843.jpg,"(0.45, 0.65)"
12972.jpg,"(0.75, 0.68)"
13233.jpg,"(0.58, 0.64)"
14202.jpg,"(0.65, 0.45)"
14483.jpg,"(0.50, 0.60)"
14723.jpg,"(0.75, 0.48)"
15030.jpg,"(0.52, 0.60)"
15465.jpg,"(0.52, 0.48)"
15615.jpg,"(0.52, 0.48)"
15816.jpg,"(0.45, 0.48)"
16072.jpg,"(0.52, 0.68)"
16179.jpg,"(0.52, 0.65)"
17153.jpg,"(0.58, 0.62)"
17702.jpg,"(0.45, 0.55)"
17889.jpg,"(0.52, 0.48)"
18079.jpg,"(0.54, 0.56)"
19029.jpg,"(0.58, 0.56)"
19104.jpg,"(0.58, 0.54)"
19529.jpg,"(0.75, 0.65)"
19577.jpg,"(0.52, 0.74)"
19733.jpg,"(0.45, 0.65)"
20699.jpg,"(0.35, 0.75)"
20806.jpg,"(0.52, 0.64)"
20900.jpg,"(0.35, 0.65)"
21110.jpg,"(0.35, 0.60)"
21308.jpg,"(0.65, 0.55)"
21453.jpg,"(0.65, 0.45)"
22095.jpg,"(0.45, 0.60)"
22446.jpg,"(0.52, 0.64)"
22491.jpg,"(0.58, 0.62)"
22647.jpg,"(0.65, 0.70)"
23235.jpg,"(0.58, 0.54)"
23340.jpg,"(0.58, 0.64)"
23873.jpg,"(0.45, 0.60)"
24142.jpg,"(0.45, 0.50)"
24213.jpg,"(0.52, 0.60)"
24551.jpg,"(0.50, 0.60)"
24751.jpg,"(0.45, 0.50)"
24961.jpg,"(0.52, 0.48)"
25135.jpg,"(0.35, 0.60)"
25554.jpg,"(0.52, 0.48)"
25617.jpg,"(0.56, 0.48)"
25744.jpg,"(0.58, 0.60)"
26596.jpg,"(0.50, 0.50)"
26763.jpg,"(0.52, 0.68)"
27459.jpg,"(0.50, 0.60)"
28662.jpg,"(0.45, 0.60)"
29173.jpg,"(0.52, 0.64)"
29343.jpg,"(0.65, 0.55)"
29394.jpg,"(0.58, 0.62)"
29462.jpg,"(0.58, 0.47)"
29779.jpg,"(0.52, 0.61)"
30001.jpg,"(0.75, 0.65)"
30277.jpg,"(0.45, 0.55)"
30504.jpg,"(0.25, 0.65)"
30604.jpg,"(0.45, 0.60)"
30779.jpg,"(0.58, 0.72)"
30833.jpg,"(0.52, 0.60)"
31604.jpg,"(0.58, 0.60)"
31698.jpg,"(0.58, 0.49)"
31990.jpg,"(0.58, 0.64)"
32707.jpg,"(0.35, 0.65)"
32909.jpg,"(0.65, 0.65)"
32989.jpg,"(0.45, 0.50)"
