frame,gaze
313.jpg,"(0.50, 0.60)"
587.jpg,"(0.75, 0.68)"
651.jpg,"(0.35, 0.70)"
1057.jpg,"(0.52, 0.58)"
1165.jpg,"(0.50, 0.60)"
1228.jpg,"(0.50, 0.60)"
1772.jpg,"(0.42, 0.69)"
1888.jpg,"(0.65, 0.70)"
2699.jpg,"(0.25, 0.60)"
2782.jpg,"(0.50, 0.70)"
2812.jpg,"(0.62, 0.83)"
3105.jpg,"(0.52, 0.80)"
3490.jpg,"(0.52, 0.68)"
3588.jpg,"(0.50, 0.75)"
3756.jpg,"(0.50, 0.75)"
3815.jpg,"(0.58, 0.72)"
4150.jpg,"(0.56, 0.78)"
4436.jpg,"(0.55, 0.70)"
4742.jpg,"(0.56, 0.72)"
5161.jpg,"(0.58, 0.76)"
5207.jpg,"(0.54, 0.68)"
5451.jpg,"(0.50, 0.60)"
5562.jpg,"(0.50, 0.60)"
5848.jpg,"(0.65, 0.58)"
5987.jpg,"(0.45, 0.70)"
