frame,gaze
161.jpg,"(0.50, 0.60)"
1596.jpg,"(0.35, 0.65)"
2342.jpg,"(0.45, 0.60)"
2396.jpg,"(0.65, 0.45)"
2455.jpg,"(0.65, 0.58)"
3243.jpg,"(0.50, 0.45)"
4016.jpg,"(0.50, 0.65)"
4324.jpg,"(0.52, 0.60)"
4526.jpg,"(0.50, 0.50)"
4900.jpg,"(0.50, 0.60)"
4931.jpg,"(0.50, 0.60)"
5485.jpg,"(0.50, 0.70)"
5697.jpg,"(0.50, 0.50)"
5772.jpg,"(0.65, 0.45)"
6573.jpg,"(0.65, 0.45)"
7411.jpg,"(0.50, 0.60)"
8030.jpg,"(0.70, 0.65)"
8558.jpg,"(0.50, 0.60)"
9284.jpg,"(0.50, 0.60)"
9789.jpg,"(0.52, 0.48)"
10165.jpg,"(0.65, 0.48)"
10379.jpg,"(0.59, 0.52)"
10714.jpg,"(0.58, 0.52)"
11557.jpg,"(0.75, 0.60)"
13850.jpg,"(0.50, 0.50)"
14046.jpg,"(0.58, 0.39)"
