frame,gaze
453.jpg,"(0.52, 0.48)"
719.jpg,"(0.50, 0.45)"
890.jpg,"(0.52, 0.60)"
1136.jpg,"(0.52, 0.60)"
1233.jpg,"(0.50, 0.45)"
1490.jpg,"(0.50, 0.45)"
1532.jpg,"(0.52, 0.48)"
1735.jpg,"(0.50, 0.45)"
1988.jpg,"(0.50, 0.75)"
2526.jpg,"(0.35, 0.70)"
2650.jpg,"(0.45, 0.65)"
3252.jpg,"(0.52, 0.45)"
3375.jpg,"(0.58, 0.63)"
3888.jpg,"(0.52, 0.54)"
5152.jpg,"(0.52, 0.48)"
5406.jpg,"(0.45, 0.45)"
5785.jpg,"(0.45, 0.50)"
6949.jpg,"(0.35, 0.50)"
7198.jpg,"(0.55, 0.45)"
7311.jpg,"(0.45, 0.60)"
